prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
abbottina rivularis,,,,,,,,,,,,,
acan,unknown,Animalia,Arachnida,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
acarinae,unknown,Animalia,Insecta,Coleoptera,Melolonthidae,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
acartia sp,,,,,,,,,,,,,
achaeta,,,,,,,,,,,,,
acheilognathus 31,,,,,,,,,,,,,
acheilognathus 32,,,,,,,,,,,,,
acteomicidae,,,,,,,,,,,,,
actinotaenium,unknown,Plantae,Zygnematophyceae,Desmidiales,Desmidiaceae,Actinotaenium sp.,NA,Charophyta,NA,NA,NA,NA,aquatic
adult insect_aquatic,adults,Metazoa,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,aquatic
adult insect_terrestrial,adults,Metazoa,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,terrestrial
adult insect_unknown,adults,Metazoa,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,aquatic or terrestrial
adult liemiptera,adults,Animalia,Insecta,Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
adults copepodites,adults,Animalia,Hexanauplia,NA,NA,NA,NA,Arthropoda,NA,Copepoda,Crustacea,NA,aquatic
adults insects,adults,Metazoa,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,aquatic or terrestrial
aeschnidae,unknown,Animalia,Insecta,Odonata,Aeshnidae,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
africallagma,,,,,,,,,,,,,
agraylea multipunctata_larvae,,,,,,,,,,,,,
algae unknwon,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
algal flaments,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
algal spores,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
all gastropods,unknown,Animalia,Gastropoda,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
all hydroids,unknown,Animalia,Hydrozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
all polychaetes,unknown,Animalia,Polychaeta,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,aquatic or terrestrial
