prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
ilybius fuliginosus_adult,adults,Animalia,Insecta,Coleoptera,Dytiscidae,Ilybius fuliginosus,NA,Arthropoda,NA,NA,NA,NA,aquatic
chlaenius yestitus_adult,adults,Animalia,Insecta,Coleoptera,Carabidae,Chlaenius yestitus,NA,Arthropoda,NA,NA,NA,NA,terrestrial
sphaeridium scarabeoides_adult,adults,Animalia,Insecta,Coleoptera,Scarabaeidae,Sphaeridium scarabeoides,NA,Arthropoda,NA,NA,NA,NA,terrestrial
gammaridea,unknown,Animalia,Malacostraca,Amphipoda,Gammaridae,Gammarus sp.,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
arachnida araneae_spiders,unknown,Animalia,Arachnida,Araneae,NA,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
menidia menidia,unknown,Animalia,Teleostei,Atheriniformes,Atherinopsidae,Menidia menidia,NA,Chordata,NA,NA,NA,NA,aquatic
calanoid copepods,unknown,Animalia,Hexanauplia,Calanoida,NA,NA,NA,Arthropoda,NA,Copepoda,NA,NA,aquatic
calanold copepods,unknown,Animalia,Hexanauplia,Calanoida,NA,NA,NA,Arthropoda,NA,Copepoda,NA,NA,aquatic
brycinus spp,unknown,Animalia,Actinopterygii,Characiformes,Alestidae,Brycinus lateralis,NA,Chordata,NA,NA,NA,NA,aquatic
characidae scale,unknown,Animalia,Teleostei,Characiformes,Characidae,NA,NA,Chordata,NA,NA,NA,NA,aquatic
b longirostris,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosmina longirostris,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosmina hagmani,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosmina hagmani,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminidae,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminopsis deitersi,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosminopsis deitersi,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
