site_name,"Winooski  River,  Vermont","Millers  River,  Massachusetts","Yellow  Creek,  Pennsylvania","Kettle  Creek,  Pennsylvania"
lat,,,,
long,,,,
predator_min_length,,,,
predator_max_length,,,,
length_units,,,,
length_measure,,,,
predator_stage,Age 1+,Age 1+,Age 1+,Age 1+
type_of_fish,Semotilus corporalis,Semotilus corporalis,Semotilus corporalis,Semotilus corporalis
sample_size,99,95,71,95
start_date,Aug-67,Sep-67,Jul-67,Jul-67
end_date,Aug-67,Sep-67,Jul-67,Jul-67
sampling interval,monthly,monthly,monthly,monthly
habitat,lotic,lotic,lotic,lotic
microhabitat,,,,
measurement_type,volume,volume,volume,volume
measurement_units,percent,percent,percent,percent
author,Reed,Reed,Reed,Reed
year,1971,1971,1971,1971
journal,TAFS,TAFS,TAFS,TAFS
citation,"Reed, R. J. (1971). Biology of the fallfish, Semotilus corporalis (Pisces, Cyprinidae). Transactions of the American Fisheries Society, 100(4), 717-725.","Reed, R. J. (1971). Biology of the fallfish, Semotilus corporalis (Pisces, Cyprinidae). Transactions of the American Fisheries Society, 100(4), 717-725.","Reed, R. J. (1971). Biology of the fallfish, Semotilus corporalis (Pisces, Cyprinidae). Transactions of the American Fisheries Society, 100(4), 717-725.","Reed, R. J. (1971). Biology of the fallfish, Semotilus corporalis (Pisces, Cyprinidae). Transactions of the American Fisheries Society, 100(4), 717-725."
table_figure,tbl6,tbl6,tbl6,tbl6
notes,no size data given,no size data given,no size data given,no size data given
Number   Diptera,99,95,71,95
Diptera_aquatic,0,1.8,0,0
Ephemeroptera_aquatic,5.8,13.8,2.4,0
Trichoptera_aquatic,9.3,5.2,0,0
Fish_aquatic,9.6,0,6.8,0
Crayfish_aquatic,8.6,0,0,14.3
Algae,39.8,30.9,42.4,0
Diptera_terrestrial,3.4,9.1,8.5,0
Coleoptera_terrestrial,0,10.4,14.8,58.3
Hymenoptera_terrestria,0,3.8,0,26.3
Unidentified insects terrestrial,1.9,0,0,0
Debris,21.4,25,25.1,0
