site_name,Shenandoah River,South Potomac River
lat,,
long,,
predator_min_length,86.3,69.4
predator_max_length,86.3,69.4
length_units,mm,mm
length_measure,fork,fork
predator_stage,fingerlings,fingerlings
type_of_fish,Micropterus dolomieu,Micropterus dolomieu
sample_size,95,95
start_date,9/22/1936,9/25/1936
end_date,9/22/1936,9/25/1936
habitat,lotic,lotic
microhabitat,,
measurement_type,percent,percent
measurement_units,number,percent
author,Surber,Surber
year,1941,1941
journal,TAFS,TAFS
citation,"Surber, E. W. (1941). A quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.","Surber, E. W. (1941). A quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334."
table_figure,tbl14,tbl14
notes,,
Baetis,79.61,61.13
Heptagenia,1.08,0.97
Isonychia,,1.02
Ephemera,,1.98
Chironomid  larvae,5.34,6.57
Chironomid  pupae,2.43,23.29
Dixidae  midge  larvae,3.51,2.18
Cyclops,0.27,2.63
Fish,7.77,
