TABLE 1.   Percent composition by weight (W%) and index of relative importance percentage (IRI%) for Largemouth Bass (LMB; N D 220; mean total
"length  § SD D 278.5  § 60.2 mm), Warmouths (WAR; N D 156; 159.9  § 27.4 mm), Black Crappies (BC; N D 229; 203.8  § 32.3 mm), Bluegills (BG; N D"
"380; 151.8 § 24.6 mm), Redspotted Sunfish (RSP; N D 106; 126.2  § 60.2 mm), Longear Sunfish (LES; N D 94; 119.1  § 11.9 mm), and Redear Sunfish"
"(RES; N D 68; 187.7  § 25.0 mm) in the Atchafalaya River basin, Louisiana. Each species’ highest IRI% value is highlighted in bold italics."
,LMB,,WAR,,,BC,,BG,RSP,,LES,,RES
Prey category,W%,IRI%,W%,IRI%,W%,IRI%,W%,IRI%,W%,IRI%,W%,IRI%,W%,IRI%
Fish,0.58,75.1,0.13,10.2,0.25,5.07,0.08,0.35,0.15,2.68,0.15,1.36,0.00,0.00
Cambaridae,0.41,22.1,0.78,75.5,0.05,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Palaemonidae,0.01,2.60,0.01,3.68,0.56,75.9,0.11,1.44,0.15,5.42,0.17,2.94,<0.01,0.01
Amphipoda,0.00,0.00,0.00,0.05,0.05,14.1,0.02,2.98,0.01,7.25,0.02,12.1,<0.01,0.01
Diptera,0.00,0.00,0.00,0.09,0.00,0.56,0.14,69.9,0.02,15.5,0.03,17.6,<0.01,0.69
Ephemeroptera,0.00,0.05,0.00,0.85,0.06,3.01,0.12,14.4,0.06,23.4,0.28,50.4,0.06,2.88
Hemiptera,0.00,0.07,0.04,4.72,0.01,1.10,0.10,1.67,0.18,14.9,0.03,0.33,0.00,0.00
Coleoptera,0.00,0.01,0.00,0.25,0.00,0.00,0.15,3.83,0.13,10.6,0.04,1.47,<0.01,<0.01
Hymenoptera,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.18,0.08,3.99,0.00,0.00,<0.01,<0.01
Corbiculidae,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.80,0.03,3.75,0.15,8.55,0.47,59.5
Physidae,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.12,0.06,3.03,0.02,0.54,0.23,20.5
Shell fragments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,15.3
Fish eggs,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.71,0.01,5.33,0.01,0.81,0.00,0.00
Other prey,0.00,0.03,0.02,0.46,0.00,0.02,0.03,1.62,0.10,2.90,0.04,3.11,0.04,1.13
