,,,Table 2
"Number of dietary samples, mean stomach fullness and percentage dietary contribution by volume (and percentage occurrence in parenthesis) of Oreochromis mossambicus and six co-"
occurring species collected from the Chapman River in spring (October 2002).
,O. mossambicus,G. holbrooki,A. butcheri,A. caudavittata,M. cephalus,H. compressa,P. olorum
Dietary sample,n = 12,n = 12,n = 12,n=7,n=5,n = 12,n = 12
Mean stomach fullness (± SE),5.4 (± 0.61),4.6 (± 0.58),5.5 (± 0.45),5 (± 0.76),5.4 (± 0.40),4.8 (± 0.53),5.1 (± 0.6)
Prey type
Algae (Unicell/Filament),60.9 (100),17.6 (50.0),0.8 (25.0),ñ,14 (100),37.8 (91.7),25.2 (75.0)
Bacillariophyceae,3.7 (100),1.0 (25.0),ñ,ñ,6.6 (100),1.9 (83.3),0.6 (41.7)
Vegetal matter,10.9 (91.7),1.4 (25.0),5.5 (75.0),0.1 (14.3),18.1 (100),1.3 (33.3),5.6 (75.0)
Seeds,ñ,ñ 0.2 (8.3),ñ,ñ,ñ,,ñ
Porifera gemmules/spicules,ñ,ñ ñ,ñ,0.8 (80.0),ñ,,ñ
Protozoa,ñ,ñ ñ,ñ,1.9 (80.0),ñ,,ñ
Arachnida,ñ,5.7 (25.0),ñ,ñ,ñ,ñ,ñ
Terrestrial insects,ñ,54.3 (83.3),2.5 (33.3),ñ,ñ,ñ,ñ
Coleoptera (larvae),ñ,ñ,1.4 (8.3),ñ,ñ,ñ,5.7 (8.3)
Diptera (larvae),ñ,9.2 (41.7),36.5 (83.3),69.6 (85.7),ñ,22.7 (66.7),54.4 (75.0)
Diptera (pupae),ñ,1.1 (8.3),5.6 (33.3),3.1 (42.9),ñ,4.1 (16.7),0.7 (8.3)
Trichoptera (larvae),ñ,ñ,7.3 (33.3),ñ,ñ,ñ,ñ
Ephemeroptera (nymphs),ñ,ñ,9.7 (41.7),0.9 (14.3),ñ,4.1 (8.3),ñ
Anisoptera (larvae),ñ,ñ,ñ,11.4 (14.3),ñ,ñ,ñ
Zygoptera (larvae),ñ,ñ,ñ,ñ,ñ,6.9 (8.3),ñ
Amphipoda,ñ,ñ,ñ,1.4 (14.3),ñ,12.8 (16.7),ñ
Ostracoda,0.8 (16.7),ñ,1.0 (33.3),0.2 (14.3),ñ,ñ,ñ
Gastropoda,ñ,8.6 (8.3),14.7 (33.3),ñ,ñ,0.9 (16.7),ñ
Teleost,ñ,ñ,ñ,6.9 (14.3),ñ,ñ,ñ
Organic matter (not identified),5.8 (100),ñ,6.8 (75.0),2.4 (57.1),16.5 (100),2.5 (50.0),3.9 (83.3)
Silt/biofilm,12.0 (83.3),0.5 (8.3),ñ,ñ,15.4 (100),2.2 (33.3),1.6 (66.7)
Sand,4.0 (100),ñ,4.0 (83.3),1.6 (28.6),16.3 (100),0.5 (8.3),0.7 (25.0)
Unidentified,2.0 (41.7),0.7 (16.7),4.2 (66.7),2.4 (57.1),10.6 (100),2.2 (50.0),1.5 (33.3)
