prey_taxon	percent area
Coleoptera	0.9
Acari	0
Elimdae	0.3
Georissidae	0.2
Psephenidae larvae	0
Chironomidae	0.6
Baetidae	1.4
Heptageniidae	1.8
Corixidae	0.1
Sialidae	0.1
Anisoptera	0
Aeshnidae	0.2
Zygoptera	0
Ostracoda	0.1
Plecoptera	0.1
Collembola	0.5
Trichoptera	0.3
Aquatic Insect Parts	9.5
Attelabidae	0
Araneae	0.3
Formicidae	0.3
Crambidae larvae terrestrial	0.1
Orthoptera	0.9
Terrestrial Insect Parts	7
Filamentous algae	1.8
non-filamentous algae	0.7
Vascular plant	2.3
detritus	16.1
insect parts	4.5
fish scales	0.7
Diptera	1.8
Ephemeroptera	5.7
Hemiptera	0.7
Megaloptra	0.1
Odonata	0.7
Terrestrial insects unkwon	9.5
Algae and plant material unknown	4.8
Detritus and other	21.3
