"TABLE  5.-Percent  total  volume  (%T.V.)  and  percent  frequency  of  occur-
rence  (%F.0.)  of  food  items  in  stomachs  of  diferent  size  groups  of  N.  longiros-
tris  collected  from  Catahoula  Creek,  Mississippi,  May  1971"
,,,Size  group
,15-24  mm,,25-34  mm,,35-44  mm
Food,(n=10),,(n=12),,(n=  16)
item,%T.V.  %F.O.,,%T.V.,%F.O.,%T.V.,%F.O.
Dipteran  larvae,58.7,100.0,40.3,91.7,30.8,87.5
"Emerging  or  newly
emerged  dipterans",23.1,90.0,12.7,33.3,9.4,43.8
Coleoptera,,,4.6,16.7,4.4,6.3
Ephemeroptera,,,,,3.7,12.5
Odonata,::::,,-1.1,16.7,3.3,6.3
Unidentifed  insects,0.3,iii.o,7.4,50.0,4.1,18.8
Crustacea,0.8,50.0,0.4,41.7,0.4,31.3
Microscopic  plants,0.3,40.0,0.4,41.7,0.2,31.3
Cyperaceae,,,,,15.6,25.0
Sand,-1.2,6.6.0,-15,-61.7,1.7,87.5
Miscellaneous,0.9,20.0,0.2,8.3
Unidentifed,14.9,100.0,30.3,100.0,-i6.5,6-7.5
