,,,biguitatus,,,,nitcropogon
itemachs  examined,,,299,,,,308
itomachsmith  food,,,161
,,,,,D,A,B,C,I)
,ITEM,At,B,C
,,--,--,--,59.7,--,--,--,70.6
ausecta,,--,--,--,--,2,1.0,1.0,0.2
Neuroptera,,13,1.2,8.1,4.5,34,2.1,16.2,6.1
Ephenseroptera.,,1,1.0,0.6,0.4,--,--,--,--
Odonata.,,1,1.0,0.6,t,6,1.8,2.9,0.3
Plecoptera  .,,5,1.2,3.1,0.5,5,1.4,2.4,1.2
flensiptera,,--,--,--,--,1,1.0,0.5,:
lionapptera.,,--,--,--,2.3,--,--,--,4.4
Weopters,,6,1.3,3.7,1.2,7,1.0,3.4,2.4
Larvae,,,1.0,1.9,1.1,10,1.1,4.8,2.0
Adults,,--,--,--,32.4,--,--,--,26.3
Trichoptera,,51,11.0,31.7,25.5,39,6.2,18:6,17.2
IldicoPsYche,,20,2.2,12.4,6.9,33,1.3,15.8,9.1
()Mier  Trichoptera,,--,--,--,--,1,1.0,0.5,:
Lepidoptera.,,--,--,--,14.4,--,--,--,25.2
DiOera,,41,9.4,25.4,10.0 -,42,5.0,20.1,7.6
Chirononms  larvae,,8,4.5,5.0,2.2,36,13.4,17.2,10.0
Sinvidium  larvae,,4,1.8,3.1,1.9,7,1.4,3.4,6.2
Other  larvae,,3,2.0,1.9,t,12,1.8,5.7,0.8
Pupae,,4,1.0,2.5,0.3,7,1.0,3.4,0.6
Adults,,1,1.0,0.6,f,2,1.0,1.0,0.6
Hymenoptera.,,,--,21.8,5.2,52,--,24.8,6.3
Insects  remains,,35
,,,1.0,0.6,:,4,1.3,1.9,0.5
Arachnids,,1
,,--,--,--,12.7,--,--,--,4.9
Crustacea,,3,21.7,1.9,1.0,--,--,--,--
Cladocera,,14,9.2,8.7,4.0,2,6.5,1.0,0.5
Ostracoda,,1,1.0,0.6,:,--,--,--,--
Isopoda,,2,1.0,1.2,1.1,--,--,--,--
AmpEdpoda,,17,1.0,1.1,6.5,14,1.0,6.7,4.4
Elecapoda(Colnbartia),,,,1.2,0.1,--,--,--,--
Crustacearenmins,,2,--
,,,--,--,6.7,--,--,--,4.2
Molluscs,,18,1.4,1.1,4.5,11,1.8,5.3,3.9
Oudropoda,,6,1.7,3.7,2.2,2,2.0,1.0,0.3
Pelecypoda
Annelids.,,1,1.0,2.6,2.4,--,,--,--
Atdmal  remains.  .,,6,--,3.7,1.1,7,--,3.4,0.6
,,--,,--,19.9,,,--,19.8
Plants,,36,--,22.4,15.4,77,--,36.8,18.7
Filamentous  algae.,,14,--,8.7,4.5,24,--,11.5,1.1
Vascular  remains
