Date.,,,,"July  19,  1939",,,,,,,,"September  25,  1939"
Species,,bigultatus,,,,micropogon,,,,bigratatus,,,,micropogon
Mean  S.L./  in  mm,,33.1,,,,34.5,,,,55.6,,,,60.0
Range  of  S.L.  in  mm,,27-37,,,,30-38,,,,36-67,,,,43-74
Stomachs  examined,,40,,,,9,,,,38,,,,118
Stomachs  with  food.,,18,,,,6,,,,31,,,,94
Stomachs  with  food  (%).,,45.0,,,,66.7,,,,81.5,,,,79.5
ITEM,,A  B  C  D  A  B  C  D  A  R  C  D  A  B  C  D
Insecta,-,-,-,31.4,-,-,-,83.3,-,-,-,89.0,-,-,-,83.2
Ephemeroptera,3,1.0,16.7,8.6,2,4.5,33.3,31.6,2,1.0,6.5,1.9,22,2.2,23.4,9.4
Pleeoptera,,,,,,,,,,,,,5,2.0,5.3,0.5
Hemiptera.,,,,,,,,,,,,,2,1.5,2.1,0.2
Coleoptera  .,,,,,,,,,,,,1.9,-,-,-,4.7
Larvae,,,,,,,,,1,1.0,3.2,1.9,4,1.0,4.3,3.8
Adults..,,,,,,,,,,,,,3,1.0,3.2,0.9
Trichoptera,,1.0,5.5,5.9,3,1.0,50.0,35.0,-,-,-,6.1,-,-,-,33.7
Helicopsyche,,,,,,,,,23,8.8,74.3,56.9,352,6.3,37.3,26.9
Other  Trichoptera,,,,,,,,,4,2.3,12.9,4.2,10,1.0,10.6,6.8
Lepidoptera..,,,,,,,,,,,,,1,1.0,1.1,I
Diptera...,,,,10.7,,,,,,,,18.0,-,-,-,23.3
Chironomus  larvae  .,4,3.0,22.2,10.7,-,-,-,-,9,7.5,29.0,11.7,22,5.1,23.4,6.5
Simu/ium  larvae  .,,,,,,,,,4,2.5,12.9,6.1,23,13.4,24.5,14.3
Other  larvae.,,,,,,,,,,,,,3,2.0,3.2,0.9
Pupae,,,,,,,,,1,3.0,3.2,0.2,9,1.9,9.6,1.5
Adults..,,,,,,,,,,,,,2,1.0,2.1,0.1
Insects  remains...,4,-,22.2,6.2,1,-,16.7,16.7,10,-,32.2,6.1,35,-,37.2,11.4
Arachnids,,,,,,,,,,,,,2,1.5,2.1,I
Crustacea,,,,,,,-,16.7 ' --,,-,-,1.3,-,-,-,/
Cladocera..,3,21.7,16.7,8.6
Ostraeoda,12,10.4,66.7,36.1,1,12.0,16.7,16.7,-,-,-,-,1,1.0,1.1,I
Decapoda  (Cambancs).,,,,,,,,,1,1.0,3.2,1.3,-,-,-,-
Crustacea  remains,1,,5.5,0.3
Molluscs.,-,-,-,13.8,,,,,,,,6.9,-,-,-,5.6
Gastropoda,4,1.0,22.2,13.8,-,-,-,-,6,1.3,19.4,5.6,4,2.3,4.3,4.8
Pelecypoda,,,,,,,,,1,1.0,3.2,1.3,2,2.0,2.1,0.8
Plants,,,,9.8,,,,,,,,2.8,-,-,-,11.0
Filamentous  algae,3,--,16.7,9.8,--,-,-,-,6,-,19.4,2.8,29,-,30.1,10.5
Vascular  remains,,,,,,,,,,,,,1,-,1.1,0.5
