site_name,"Hubbard Creek, Clay County, Alabama",,,,,,,,,
lat,,,,,,,,,,
long,,,,,,,,,,
predator_min_length,22,,,,,,,,,
predator_max_length,68,,,,,,,,,
length_units,mm,,,,,,,,,
length_measure,standard,,,,,,,,,
predator_stage,,,,,,,,,,
type_of_fish,Cyprinella trichroistia,,,,,,,,,
sample_size,25,,,,,,,,,
start_date,Oct-76,,,,,,,,,
end_date,Jan-79,,,,,,,,,
sampling interval,monthly,,,,,,,,,
habitat,lotic,,,,,,,,,
microhabitat,,,,,,,,,,
measurement_type,abundance,,,,,,,,,
measurement_units,percent,,,,,,,,,
author,Scott and Mayden,,,,,,,,,
year,2008,,,,,,,,,
journal,Southeastern Naturalist,,,,,,,,,
citation,"Scott, J. H., & Mayden, R. L. (2008). Life history of the tricolor shiner, Cyprinella trichroistia (Teleostei: Cyprinidae), in Alabama. Southeastern Naturalist, 7(1), 69-81.",,,,,,,,,
table_figure,fig6,,,,,,,,,
notes,"hand-entered from figure 6 (pie chart with numbers). Length range estimated from Fig. 3, but may not represent dietary sample b/c diets represented only 25 fish out of >6000 collected",,,,,,,,,
Coleoptera,23,,,,,,,,,
Lepidoptera,2,,,,,,,,,
Trichoptera,8,,,,,,,,,
Orthoptera,0,,,,,,,,,
Hemiptera,2,,,,,,,,,
Plecoptera,9,,,,,,,,,
Megaloptera,0,,,,,,,,,
Odonata,2,,,,,,,,,
Ephemeroptera,10,,,,,,,,,
Collembola,3,,,,,,,,,
Diptera,36,,,,,,,,,
Hymenoptera,5,,,,,,,,,
