"TABLE  1-Diet  of  Etheostoma  punctufatum  in  Flint  Creek,  Oklahoma.  Fish  were  examined  as"
two  sin   classes: (A)  less  than 45.5  mm  standard  length  (n =  50); (B)  greater  than 45.5 mm
standard  length  (n  =  49).
,Percent  of  stomachs,,Percent  of  total
,containing  item',,food  items
Food  item',A,B,A
Cladot-era,0.0,3.4,0.0,0.7
Isopoda,11.4,27.6,3.1,9.1
Amphipoda,13.6,6.9,8.6,4.9
Ephemeroptera
Heptageniidae,22.7,10.3,6.2,3.5
Baetidae,77.3,51.7,50.0,29.4
Plecoptera
Nemouridae,0.0,10.3,0.0,2.1
Perlodidae,2.3,0.0,0.6,0.0
Trichoptera
Hydropsychidae,6.8,10.3,2.5,2.1
Lepidoptera
Pyralidae,0.0,3.4,0.0,0.7
Coleoptera
Psephenidae,2.3,3.4,0.6,0.7
Diptera
Chironomidae,6.8,48.3,27.8,46.2
Culicidae,0.0,3.4,0.0,0.7
Terrestrial  Insecta,2.3,0.0,0.6,0.0
Pebbles,2.3,3.4,0.0,0.0
Unidentifiable  Material,18.2,31.0,0.0,0.0
'Total  number  of  food  items  was  162  (A)  and  143  (B).
'Number  of  empty  stomachs  was  6  (A)  and  20  (B).
