Table  I.  Composition  of  the  diet  of  the  Arkansas  River  shiner  collected  from  the  Canadian  River  in  New  Mexico
and  Texas  from  September  1996  to  August  1998.  Tabled  values  are  sample  sizes  (N)and  the  percent  (%)
each  item  contributed  to  the  total  weioht  of  the  diveRtivet  traet  ennteritc
Month,,N  Aquatic  Coleoptera Detritus Diptera Hymenoptera,,,,,Plant,Sand-  Unidentified
,,insects  (%),(%),(%),(%),(%),material  (%) silt  (%)  insects  (%)
September  1996,29,2.4,,36.5,0.2,,25.4,8.9,26.5
October,33,5.5,19.5,26.1,13.5,,12.5,,23.0
November,40,21.7,1.6,19.1,3.4,1.1,1.9,3.8,47.4
December,32,3.5,9.1,15.2,9.0,,7.5,43.7,12.0
January  1997,39,0.7,0.6,6.7,28.7,,,59.3,4.1
February,36,,0.9,8.6,11.7,,0.2,73.4,5.3
March,42,0.3,0.7,4.3,5.9,2.1,,71.5,15.2
April,45,1.3,5.8,28.8,9.2,0.5,3.6,38.2,12.6
May,59,1.5,0.9,43.0,2.5,1.8,5.2,34.0,11.1
June,54,3.1,0.3,43.3,8.6,0.9,9.5,28.0,6.2
July,59,1.1,2.8,56.7,2.1,7.7,8.8,4.1,16.7
August,53,10.2,,51.8,1.0,17.7,11.4,4.5,3.5
September,38,0.7,1.0,45.6,15.8,1.4,13.7,1.9,19.9
October,32,18.9,2.5,22.0,,2.5,28.3,23.9,1.9
November,27,,1.5,16.2,0.1,1.7,6.7,34.8,38.9
December,30,,,3.1,0.2,0.3,4.6,84.0,7.8
January  1998,37,,,18.3,7.6,,,38.0,36.1
February,45,0.8,,16.0,2.9,,,73.8,6.5
March,49,,36.5,36.9,,0.3,0.3,18.2,7.7
April,51,0.6,,21.7,,0.7,0.5,67.4,9.1
May,62,,3.9,36.4,3.7,4.0,,41.6,10.4
June,64,,,14.5,0.9,0.9,6.9,70.8,5.9
July,64,,,5.4,0.5,9.8,0.1,84.1
August,69,,,"43,8",4.0,3.1,0.2,47.5,1.4
