"Table  1.  Gut  contents  of  Notropis  chrosomus  from  Moore  Creek,  Cherokee  County,  GA  by  month.  Numbers  for  each  food  item  indicate  the  total  number  of  in-"
dividual  items  of  that  food  type  in  all  guts  examined;  detritus  and  unidentifed  insect  parts  are  exceptions  due  to  the  dificulty  quantifying  them  and  are  noted  by
"occurrence  within  a  single  specimen  (e.g.,  the  occurrence  of  detritus  in  two  specimens  from  a  month  is  denoted  as  ""2"")."
,,,,,,Month
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug  Sep,,Oct,Nov  Dec,,Total,%  of  total
#  of  specimens,16,13,15,13,15,17,22,16,15,24,14,20,200
Detritus,3,9,7,5,3,3,2,2,3,5,,6,49,10.68
Sand,,,2,1,,,,3,,,,,6,1.31
Ova/eggs,,,22,,,,,,,,,,22,4.79
Nematoda,,2,,,,,,,,,,,2,0.44
Mollusca
Physa  sp.,,,,,2,,,,,,,,3,0.65
Insecta
Unidentifed  parts,3,6,7,3,7,8,10,4,4,8,2,2,66,14.38
Ephemeroptera,,,,,,5,13,,,,1,1,20,4.36
Collembola,,28,,,,,,,,,,,28,6.10
Coleoptera,,,,1,,,,,,1,,1,3,0.65
Lepidoptera,,,,,,,,,,1,,,1,0.22
Hymenoptera,,,,,,1,1,,1,1,,,4,0.87
Hemiptera,,,,,,3,,,,,,,3,0.65
Trichoptera,,,3,,1,1,,,,,,,5,1.09
Diptera
Chironomidae  larvae,1,6,27,91,21,47,1,,,,1,2,205,44.66
Unidentifed  adults,,,14,,15,2,,,,10,,,42,9.15
Number  empty,13,5,6,6,8,7,11,11,10,13,8,11,115
%  empty,81.25,38.46,40.00,46.15,53.33,41.18,50.00,68.75,66.67,41.76,57.14,55.00
Total  number  of  items,7,51,82,101,49,70,27,9,8,26,4,12,459
Mean  items/gut,0.41,3.92,5.47,14.43,6.13,4.12,1.23,1.80,0.53,1.08,0.29,0.60
