,Family,Species,Study
1,Abyssocottidae,Abyssocottus elochini,"Taliev, 1955"
2,Abyssocottidae,Abyssocottus gibbosus,"Berg, 1906"
3,Abyssocottidae,Abyssocottus korotneffi,"Berg, 1906"
4,Abyssocottidae,Asprocottus abyssalis,"Taliev, 1955"
5,Abyssocottidae,Asprocottus herzensteini,"Berg, 1906"
6,Abyssocottidae,Asprocottus intermedius,"Taliev, 1955"
7,Abyssocottidae,Asprocottus korjakovi,"Sideleva, 2001"
8,Abyssocottidae,Asprocottus minor,"Sideleva, 2001"
9,Abyssocottidae,Asprocottus parmiferus,"Taliev, 1955"
10,Abyssocottidae,Asprocottus platycephalus,"Taliev, 1955"
11,Abyssocottidae,Asprocottus pulcher,"Taliev, 1955"
12,Abyssocottidae,Cottinella boulengeri,"(Berg, 1906)"
13,Abyssocottidae,Cyphocottus eurystomus,"(Taliev, 1955)"
14,Abyssocottidae,Cyphocottus megalops,"(Gratzianov, 1902)"
15,Abyssocottidae,Limnocottus bergianus,"Taliev, 1935"
16,Abyssocottidae,Limnocottus godlewskii,"(Dybowski, 1874)"
17,Abyssocottidae,Limnocottus griseus,"(Taliev, 1955)"
18,Abyssocottidae,Limnocottus pallidus,"Taliev, 1948"
19,Abyssocottidae,Neocottus thermalis,"Sideleva, 2002"
20,Abyssocottidae,Neocottus werestschagini,"(Taliev, 1935)"
21,Abyssocottidae,Procottus gotoi,"Sideleva, 2001"
22,Abyssocottidae,Procottus gurwicii,"(Taliev, 1946)"
23,Abyssocottidae,Procottus jeittelesii,"(Dybowski, 1874)"
24,Abyssocottidae,Procottus major,"Taliev, 1949"
25,Acanthuridae,Acanthurus mata,"(Cuvier, 1829)"
26,Acanthuridae,Acanthurus xanthopterus,"Valenciennes, 1835"
27,Acestrorhynchidae,Acestrorhynchus abbreviatus,"(Cope, 1878)"
28,Acestrorhynchidae,Acestrorhynchus altus,"Menezes, 1969"
29,Acestrorhynchidae,Acestrorhynchus britskii,"Menezes, 1969"
30,Acestrorhynchidae,Acestrorhynchus falcatus,"(Bloch, 1794)"
31,Acestrorhynchidae,Acestrorhynchus falcirostris,"(Cuvier, 1819)"
32,Acestrorhynchidae,Acestrorhynchus grandoculis,"Menezes & Géry, 1983"
33,Acestrorhynchidae,Acestrorhynchus heterolepis,"(Cope, 1878)"
34,Acestrorhynchidae,Acestrorhynchus isalineae,"Menezes & Géry, 1983"
35,Acestrorhynchidae,Acestrorhynchus lacustris,"(Lütken, 1875)"
36,Acestrorhynchidae,Acestrorhynchus maculipinna,"Menezes & Géry, 1983"
37,Acestrorhynchidae,Acestrorhynchus microlepis,"(Jardine, 1841)"
38,Acestrorhynchidae,Acestrorhynchus minimus,"Menezes, 1969"
39,Acestrorhynchidae,Acestrorhynchus nasutus,"Eigenmann, 1912"
40,Acestrorhynchidae,Acestrorhynchus pantaneiro,"Menezes, 1992"
41,Acestrorhynchidae,Gilbertolus alatus,"(Steindachner, 1878)"
42,Acestrorhynchidae,Gnathocharax steindachneri,"Fowler, 1913"
43,Acestrorhynchidae,Heterocharax leptogrammus,"Toledo-Piza, 2000"
44,Acestrorhynchidae,Heterocharax macrolepis,"Eigenmann, 1912"
45,Acestrorhynchidae,Heterocharax virgulatus,"Toledo-Piza, 2000"
