"fish_id_new","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"ostracoda",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"ostracoda",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"ostracoda","0.2","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"ostracoda",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"calanoid","12.6","unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"calanoid",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"calanoid",NA,"unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"calanoid",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"harpacticoid",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"harpacticoid","0.5","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"harpacticoid",NA,"unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"harpacticoid",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"mysid shrimp","36","unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"mysid shrimp","1.5","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"mysid shrimp","0.4","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"mysid shrimp","0.2","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"isopoda","4.2","unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"isopoda",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"isopoda","0.4","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"isopoda","4.8","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"amphipoda","4.4","unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"amphipoda","19.1","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"amphipoda","23","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"amphipoda","1.8","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"pal aemonetes_sp",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"pal aemonetes_sp",NA,"unknown"
