"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FFMGJVQ5S6G2ZR5Y3WE2ZP","Lake Ontario","White Perch","relative volume","percent","50","99",NA,"mm","total length",NA,"4","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","1",NA,"amphipoda","44","unknown"
"0001FFMGJVENF1GXNJ4FDBSEZV","Lake Ontario","White Perch","relative volume","percent","100","149",NA,"mm","total length",NA,"14","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","2",NA,"amphipoda","24","unknown"
"0001FFMGJVF988R9EA6V8QWNRV","Lake Ontario","White Perch","relative volume","percent","150","199",NA,"mm","total length",NA,"64","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","3",NA,"amphipoda","20","unknown"
"0001FFMGJVR9C3QGF5ZS0YS06G","Lake Ontario","White Perch","relative volume","percent","200","249",NA,"mm","total length",NA,"108","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","4",NA,"amphipoda","44","unknown"
"0001FFMGJVMAHPJV0JZQSGXD0T","Lake Ontario","White Perch","relative volume","percent","250","299",NA,"mm","total length",NA,"61","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","5",NA,"amphipoda","33","unknown"
"0001FFMGJV7AES535BD17DVSE5","Lake Ontario","White Perch","relative volume","percent","300",NA,NA,"mm","total length",NA,"11","1972-05-01","1972-07-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","6",NA,"amphipoda","38","unknown"
"0001FFMGJVET967GDGV7MQS7DS","Lake Ontario","White Perch","relative volume","percent","50","99",NA,"mm","total length",NA,"8","1972-07-01","1972-09-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","7",NA,"amphipoda","42","unknown"
"0001FFMGJV0SMQRV2PFJ78CHW8","Lake Ontario","White Perch","relative volume","percent","100","149",NA,"mm","total length",NA,"36","1972-07-01","1972-09-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","8",NA,"amphipoda","35","unknown"
"0001FFMGJVW7KRSW5H9YKKQXX3","Lake Ontario","White Perch","relative volume","percent","150","199",NA,"mm","total length",NA,"89","1972-07-01","1972-09-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","9",NA,"amphipoda","45","unknown"
"0001FFMGJV6NW5VR1DYQ8QAR0T","Lake Ontario","White Perch","relative volume","percent","200","249",NA,"mm","total length",NA,"40","1972-07-01","1972-09-01","monthly","lake","no mention","Elrod et al.","1981","New York Fish and Game Journal","Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","tbl 3","length","10",NA,"amphipoda","37","unknown"
