"site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","1","dry weight","s_mossambicus","126","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","total","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","2","dry weight","s_mossambicus","2.3","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","weight","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","3","dry weight","s_mossambicus","60.6","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","1","dry weight","p_philander","44","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","total","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","2","dry weight","p_philander","0.8","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","weight","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","3","dry weight","p_philander","5.3","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","1","dry weight","cichlid_fry","383","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","total","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","2","dry weight","cichlid_fry","6.9","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","weight","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","3","dry weight","cichlid_fry","2.6","unknown"
"Lake Sibaya, South Africa","Clariuas gariepinus","number","percent","300","1088",NA,"mm","total",NA,"469","1972-01-01","1976-04-01","two months per year","lentic",NA,"bruton","1979","Transactions of the Zoological Society of London","Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.","tbl3","averaged over dates and sizes","1","dry weight","g_giurus","38","unknown"
