"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FJP2APTKXEDX48A8THGWKR","Lake Opinicon, Ontario","Amblophiites rupestris","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","1",NA,"cyclopoid copepods","30","unknown"
"0001FJP2APAY9PQGAAA5RMKVBE","Lake Opinicon, Ontario","Micropterus salmoides","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","2",NA,"cyclopoid copepods","2","unknown"
"0001FJP2APFEJ769GZ0YEHEMRE","Lake Opinicon, Ontario","Fundulus diaphanus","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","3",NA,"cyclopoid copepods","4","unknown"
"0001FJP2APDEJNYFF79CY21XV7","Lake Opinicon, Ontario","Pimephales","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","4",NA,"cyclopoid copepods","31","unknown"
"0001FJP2AP5WSNSAD2J8WRTYX4","Lake Opinicon, Ontario","Notemignus crysoleucas","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","5",NA,"cyclopoid copepods","12","unknown"
"0001FJP2APW0FF5WN6Z68KS776","Lake Opinicon, Ontario","Ictalurus nebulosus","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","6",NA,"cyclopoid copepods","5","unknown"
"0001FJP2APTKXEDX48A8THGWKR","Lake Opinicon, Ontario","Amblophiites rupestris","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","1",NA,"chydorus","16","unknown"
"0001FJP2APAY9PQGAAA5RMKVBE","Lake Opinicon, Ontario","Micropterus salmoides","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","2",NA,"chydorus",NA,"unknown"
"0001FJP2APFEJ769GZ0YEHEMRE","Lake Opinicon, Ontario","Fundulus diaphanus","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","3",NA,"chydorus","4","unknown"
"0001FJP2APDEJNYFF79CY21XV7","Lake Opinicon, Ontario","Pimephales","relative volume","percent","12","40",NA,"mm","standard length","juvenile","10","1980-06-17","1980-08-30",NA,"Lake","no mention","Keast","1985","Environmental Biology of Fishes","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.","tbl 1","prey species","4",NA,"chydorus","29","unknown"
