,site_name,lat.x,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,prey_taxon,measurement,prey_stage,sampling_interval,predator_average_length,frequency,lon,lat.y
1,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,crustacea,7062,unknown,NA,NA,NA,-80.7975834,26.9689536
2,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,crustacea,87.71,unknown,NA,NA,NA,-80.7975834,26.9689536
3,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,amphipoda,2475,unknown,NA,NA,NA,-80.7975834,26.9689536
4,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,amphipoda,30.74,unknown,NA,NA,NA,-80.7975834,26.9689536
5,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,decapoda,6,unknown,NA,NA,NA,-80.7975834,26.9689536
6,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,decapoda,0.08,unknown,NA,NA,NA,-80.7975834,26.9689536
7,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,mysidacea,4285,unknown,NA,NA,NA,-80.7975834,26.9689536
8,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,mysidacea,53.22,unknown,NA,NA,NA,-80.7975834,26.9689536
9,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,isopoda,293,unknown,NA,NA,NA,-80.7975834,26.9689536
10,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,isopoda,3.64,unknown,NA,NA,NA,-80.7975834,26.9689536
11,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,cladocera,2,unknown,NA,NA,NA,-80.7975834,26.9689536
