"","site_name","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat"
"1","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"detritus_sediment","63.02","unknown","-50.0226154","-25.0073426"
"2","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"fruits_seeds_angyospermae","16.078","unknown","-50.0226154","-25.0073426"
"3","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"root_leaf_stem_angyospermae","7.817","unknown","-50.0226154","-25.0073426"
"4","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"pteridophyta","0.001","unknown","-50.0226154","-25.0073426"
"5","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"bryophyta","0.342","unknown","-50.0226154","-25.0073426"
"6","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"penales","0.577","unknown","-50.0226154","-25.0073426"
"7","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"centrales","0.054","unknown","-50.0226154","-25.0073426"
"8","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"chlorophyceae","0.158","unknown","-50.0226154","-25.0073426"
"9","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"spirogyra","3.748","unknown","-50.0226154","-25.0073426"
"10","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"closterium","0.304","unknown","-50.0226154","-25.0073426"
"11","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"oscillatoria","1.272","unknown","-50.0226154","-25.0073426"
"12","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"diptera_larvae_and_pupae","0.527","larvae","-50.0226154","-25.0073426"
"13","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"ceratopogonidae_larvae","0.004","larvae","-50.0226154","-25.0073426"
"14","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"chaoboridae_larvae","0.001","larvae","-50.0226154","-25.0073426"
"15","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"chironomidae_larvae_and_pupae","0.577","larvae","-50.0226154","-25.0073426"
"16","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"culicidae_larvae","0.003","larvae","-50.0226154","-25.0073426"
"17","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"simulidae_larvae","0.002","larvae","-50.0226154","-25.0073426"
"18","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"coleoptera_larvae","0.007","larvae","-50.0226154","-25.0073426"
"19","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"ephemeroptera_nymph","0.05","larvae","-50.0226154","-25.0073426"
"20","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"hemiptera_44","0.081","unknown","-50.0226154","-25.0073426"
"21","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"neuroptera","0.003","unknown","-50.0226154","-25.0073426"
"22","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"odonata_nymph","0.094","larvae","-50.0226154","-25.0073426"
"23","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"plecoptera_larvae","0.002","larvae","-50.0226154","-25.0073426"
"24","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"trichoptera_larvae","0.004","larvae","-50.0226154","-25.0073426"
