"","site_name","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","fish_id","notes","prey_taxon","measurement","prey_stage","lon","lat"
"1","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"sand","19.2","unknown","4.6037231","10.3619024"
"2","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"sand","10.7","unknown","4.6037231","10.3619024"
"3","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"sand","12.5","unknown","4.6037231","10.3619024"
"4","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"mud_detritus","22.9","unknown","4.6037231","10.3619024"
"5","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"mud_detritus","18.3","unknown","4.6037231","10.3619024"
"6","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"mud_detritus","18.7","unknown","4.6037231","10.3619024"
"7","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"blue_green_algae",NA,"unknown","4.6037231","10.3619024"
"8","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"blue_green_algae",NA,"unknown","4.6037231","10.3619024"
"9","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"blue_green_algae",NA,"unknown","4.6037231","10.3619024"
"10","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"anabaena_sp","1.9","unknown","4.6037231","10.3619024"
"11","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"anabaena_sp","2","unknown","4.6037231","10.3619024"
"12","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"anabaena_sp","3.1","unknown","4.6037231","10.3619024"
"13","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"microcystis_sp","5.8","unknown","4.6037231","10.3619024"
"14","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"microcystis_sp","4.3","unknown","4.6037231","10.3619024"
"15","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"microcystis_sp","6.2","unknown","4.6037231","10.3619024"
"16","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"oscillatoria_sp","0.2","unknown","4.6037231","10.3619024"
"17","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"oscillatoria_sp","1.1","unknown","4.6037231","10.3619024"
"18","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"oscillatoria_sp","3.1","unknown","4.6037231","10.3619024"
"19","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"green_algae_unicellular",NA,"unknown","4.6037231","10.3619024"
"20","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"green_algae_unicellular",NA,"unknown","4.6037231","10.3619024"
"21","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"green_algae_unicellular",NA,"unknown","4.6037231","10.3619024"
"22","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"closteriopsis_sp","0.7","unknown","4.6037231","10.3619024"
"23","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"closteriopsis_sp","2.1","unknown","4.6037231","10.3619024"
"24","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"closteriopsis_sp","3.1","unknown","4.6037231","10.3619024"
"25","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"closterium_sp","3.6","unknown","4.6037231","10.3619024"
"26","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"closterium_sp","3.1","unknown","4.6037231","10.3619024"
"27","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"closterium_sp","3.1","unknown","4.6037231","10.3619024"
"28","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"costnarium_sp","2.1","unknown","4.6037231","10.3619024"
"29","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"costnarium_sp","4.4","unknown","4.6037231","10.3619024"
"30","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"costnarium_sp","3.1","unknown","4.6037231","10.3619024"
"31","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"crucigenia_sp","0.1","unknown","4.6037231","10.3619024"
"32","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"crucigenia_sp","0.7","unknown","4.6037231","10.3619024"
"33","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"crucigenia_sp",NA,"unknown","4.6037231","10.3619024"
"34","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"eudorina_sp","8.6","unknown","4.6037231","10.3619024"
"35","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"eudorina_sp","6.9","unknown","4.6037231","10.3619024"
"36","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"eudorina_sp","6.2","unknown","4.6037231","10.3619024"
"37","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"eurastrunz_sp","0.7","unknown","4.6037231","10.3619024"
