"site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"98","1995-10-01","1995-10-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","1",NA,"keratella_quadrata","0","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"115","1995-11-01","1995-11-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","2",NA,"keratella_quadrata","0.1","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"71","1995-12-01","1995-12-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","3",NA,"keratella_quadrata","4.3","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"88","1996-01-01","1996-01-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","4",NA,"keratella_quadrata","28.9","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"64","1996-02-01","1996-02-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","5",NA,"keratella_quadrata","37.6","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"26","1996-03-01","1996-03-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","6",NA,"keratella_quadrata","211.3","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"104","1996-04-01","1996-04-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","7",NA,"keratella_quadrata","34466","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"26","1996-05-01","1996-05-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","8",NA,"keratella_quadrata","126.4","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"26","1996-06-01","1996-06-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","9",NA,"keratella_quadrata","0","unknown"
"Lake Volvi, Greece","Alosa macedonica","number","total","102","214",NA,"mm","total length",NA,"99","1996-07-01","1996-07-01","monthly","lentic",NA,"Kleanthidis","2001","Israel Journal of Ecology and Evolution","Kleanthidis, P. K., & Sinis, A. I. (2001). Feeding habits of the macedonian shad, Alosa macedonica (Vinciguerra, 1921) in Lake Volvi (Greece): seasonal and ontogenetic changes. Israel Journal of Ecology and Evolution, 47(3), 213-232.","tbl3","averaged over size","10",NA,"keratella_quadrata","0","unknown"
