"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FJH3BAQ04PC6K6D05KVAKY","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"80","2001-03-01","2002-04-01","spring months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","1",NA,"gyraulus albus","6.7","unknown"
"0001FJH3BAFD05Z8JF5C3YCVR2","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"124","2001-03-01","2002-04-01","summer months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","2",NA,"gyraulus albus","2.2","unknown"
"0001FJH3BAJB999B954W798SY5","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"93","2001-03-01","2002-04-01","fall months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","3",NA,"gyraulus albus","4.7","unknown"
"0001FJH3BA70J9GRP8BSZDEVXB","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"87","2001-03-01","2002-04-01","winter months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","4",NA,"gyraulus albus","4.3","unknown"
"0001FJH3BAQ04PC6K6D05KVAKY","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"80","2001-03-01","2002-04-01","spring months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","1",NA,"valvata naticina","1.2","unknown"
"0001FJH3BAFD05Z8JF5C3YCVR2","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"124","2001-03-01","2002-04-01","summer months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","2",NA,"valvata naticina","0.6","unknown"
"0001FJH3BAJB999B954W798SY5","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"93","2001-03-01","2002-04-01","fall months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","3",NA,"valvata naticina","0.5","unknown"
"0001FJH3BA70J9GRP8BSZDEVXB","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"87","2001-03-01","2002-04-01","winter months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","4",NA,"valvata naticina","0","unknown"
"0001FJH3BAQ04PC6K6D05KVAKY","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"80","2001-03-01","2002-04-01","spring months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","1",NA,"graecoanatolica sp","19.2","unknown"
"0001FJH3BAFD05Z8JF5C3YCVR2","Lake Egirdir, Turkey","Carassius gibelio","abundance","number","9","33",NA,"cm","fork length",NA,"124","2001-03-01","2002-04-01","summer months","lake","no mention","Balik et al.","2003","Turkish Journal of Fisheries and Aquatic Sciences","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.","tbl 3","season","2",NA,"graecoanatolica sp","14.5","unknown"
