"","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"1","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plantae",NA,"unknown"
"2","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"class hirudinea",NA,"unknown"
"3","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"class oligochaeta",NA,"unknown"
"4","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decapoda",NA,"unknown"
"5","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branchiopoda",NA,"unknown"
"6","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"7","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"odonata adult",NA,"adults"
"8","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hemiptera",NA,"unknown"
"9","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"10","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"11","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cyprinidae",NA,"unknown"
"12","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cobitidae",NA,"unknown"
"13","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"centrarchidae",NA,"unknown"
"14","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gobiidae",NA,"unknown"
"15","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"channidae",NA,"unknown"
"16","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified fish",NA,"unknown"
"17","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish egg",NA,"unknown"
"18","0001FJ5W1CN2Z6PJSF03GW4PNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified particles",NA,"unknown"
