fish_id,journal,author,citation,site_name,lat,lon
504,PLOSOne,NelsonEtAl.,NA,NA,,
505,PLOSOne,NelsonEtAl.,NA,NA,,
503,PLOSOne,NelsonEtAl.,NA,NA,,
502,TheAmericanMidlandNaturalist,Whitaker,NA,NA,,
500,PLOSOne,NelsonEtAl.,NA,NA,,
501,PLOSOne,NelsonEtAl.,NA,NA,,
499,PLOSOne,NelsonEtAl.,NA,NA,,
506,TheAmericanMidlandNaturalist,Whitaker,NA,NA,,
0001F8466BXCMF3MQG4FS06DSF,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001F8466B23RCEZYM38N9E2A1,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001F8466BFTPMGZNZZ83J46X2,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001F8466BXK7AFHNPXA6WBZ59,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001F8466BSSSQB1HZ8GTRXGDT,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001F8466BTBYB1E2D2M4DC24E,Archiv fuer Hydrobiologie,Olurin,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.","Owa Stream, Nigeria",6.290166,5.983621
0001FFMGC3DZXSDD3SRP8C7Z4Q,Studies on neotropical fauna and environment,Ferreira et al.,"Ferreira, G. L., Lopes, V. G., Cantarino Gomes, J. H., & Castelo Branco, C. W. (2013). Condition factor and diet of the catfish Loricariichthys castaneus (Castelnau, 1855): gender differences in three tropical reservoirs. Studies on neotropical fauna and environment, 48(3), 190-198.","Santana Reservoir, Brazil",-22.873148,-44.391882
0001FB8HMYGD07VFMSS4DJEHBM,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierkloof Stream, Spain",-33.711893,19.073286
0001FB8HMYEGSMASXWPAK5JN91,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierkloof Stream, Spain",-33.711893,19.073286
0001FB8HMYACD0YANTYAXKRBAT,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierkloof Stream, Spain",-33.711893,19.073286
0001FB8HMY9PK33YE36CKNCHNT,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierstel Stream, Spain",-33.793057,19.216256
0001FB8HMYVZFZD6WBD1EYHSR4,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierstel Stream, Spain",-33.793057,19.216256
0001FB8HMY3APR6P24MJ7T8CK2,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Tierstel Stream, Spain",-33.793057,19.216256
0001FFMGC3PM75Z6NQ9JYDDPDX,Studies on neotropical fauna and environment,Ferreira et al.,"Ferreira, G. L., Lopes, V. G., Cantarino Gomes, J. H., & Castelo Branco, C. W. (2013). Condition factor and diet of the catfish Loricariichthys castaneus (Castelnau, 1855): gender differences in three tropical reservoirs. Studies on neotropical fauna and environment, 48(3), 190-198.","Vigário Reservoir, Brazil",-22.742728,-44.150326
0001FB8HMY61KQ3EQK3FH66MDE,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Waaihoek Stream, Spain",-33.506786,19.27059
0001FB8HMYJRT2HTVZ744F7S8C,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Waaihoek Stream, Spain",-33.506786,19.27059
0001FB8HMYE3MR4MP3HZJ5HP4J,African journal of aquatic science,Shelton et al.,"Shelton, J. M., Bird, M. S., & Marr, S. M. (2018). Evidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.","Waaihoek Stream, Spain",-33.506786,19.27059
0001FHXT0CP21PS1TE2MXNKG8Q,NA,NA,NA,NA,,
0001FHXT0C3DP07XT6VKVS2RNR,NA,NA,NA,NA,,
0001FHXT0CJDVCP4SXTJ2D5M1K,NA,NA,NA,NA,,
0001FHXT0C0AMHWQ3QF7JZ48DC,NA,NA,NA,NA,,
0001FHXT0CPBBMSCWE7VMWE6Q5,NA,NA,NA,NA,,
