site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Sticklebacks,Radix  peregra,Chironomid  larvae,Benthic  Crustacea,Plankton,Surface  food,,,,,,,,,,
"Lake Myvatn, S-basin",,,32,,52,cm,,,Salvelinus alpinus,27,5/6/1973,5/6/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,,+,3,,,97,,,,,,,,,,
"Lake Myvatn, S-basin",,,10,,45,cm,,,Salvelinus alpinus,14,6/20/1972,6/28/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,63,24,7,+,,6,,,,,,,,,,
"Lake Myvatn, S-basin",,,32,,52,cm,,,Salvelinus alpinus,46,7/10/1973,7/21/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,14,+,34,38,+,14,,,,,,,,,,
"Lake Myvatn, S-basin",,,10,,45,cm,,,Salvelinus alpinus,15,7/21/1972,7/21/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,,4,49,40,,7,,,,,,,,,,
"Lake Myvatn, S-basin",,,32,,52,cm,,,Salvelinus alpinus,31,8/16/1973,8/16/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,10,,12,70,,8,,,,,,,,,,
"Lake Myvatn, S-basin",,,10,,45,cm,,,Salvelinus alpinus,14,9/28/1972,9/28/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,,,+,30,70,,,,,,,,,,,
"Lake Myvatn, S-basin",,,32,,52,cm,,,Salvelinus alpinus,49,9/30/1973,10/2/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,14,+,6,22,58,,,,,,,,,,,
"Lake Myvatn, N-basin",,,32,,52,cm,,,Salvelinus alpinus,31,6/23/1973,7/4/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,56,25,2,,,17,,,,,,,,,,
"Lake Myvatn, N-basin",,,32,,52,cm,,,Salvelinus alpinus,15,9/20/1973,9/20/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",tbl1,,80,3,3,13,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,unique_character,fish_genus_species,predator_min_length,predator_max_length,length_units,sample_size,start_year,start_month,start_day,end_year,end_month,end_day,habitat,measurement_type,measurement_units,author,year,journal,site_name,predator_average_length,length_type,sampling_interval,citation,figure,measurement,prey_kingdom,prey_class,prey_family,prey_species,fish_genus,fish_order,fish_family,fish_id,correction_mult,new_min,new_max,new_average,data_sorted_by,notes
