"measurement","how_to_fix","author","citation"
"-  3.4","","Nilsson","Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225."
"—","","Carpenter","Carpenter, K. E. (1940, September). The feeding of salmon parr in the Cheshire Dee. In Proceedings of the Zoological Society of London (Vol. 110, No. 1-2, pp. 81-96). Oxford, UK: Blackwell Publishing Ltd."
"—","","Mathur","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55."
"%","","Ayinla","Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos"
"*","","Vidotto-Magnoni & Carvalho","Vidotto-Magnoni, A. P., & Carvalho, E. D. (2009). Aquatic insects as the main food resource of fish the community in a Neotropical reservoir. Neotropical Ichthyology, 7(4), 701-708."
"*","","Speirs","Speirs, G. D. (1974). Food habits of landlocked salmon and brook trout in a Maine lake after introduction of landlocked alewives. Transactions of the American Fisheries Society, 103(2), 396-399."
"*","","Ndome & Victor","Ndome, C. B., & Victor, R. (2002). Food and feeding habits of Epiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1)."
"*","","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214."
"*+","","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214."
".","","Allen","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349."
".  10.2 19.4","","Allen","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349."
".  13.0","","Allen","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349."
".  6.6","","Perry","Perry, K. R. (1970). The distribution and food habits of bottom fishes in Tuttle Creek Reservoir (Doctoral dissertation, Kansas State University)."
"..","","Cadwallader","Cadwallader, P. L. (1975). The food of the New Zealand common river galaxias, Galaxias vulgaris Stokell (Pisces: Salmoniformes). Marine and Freshwater Research, 26(1), 15-30."
".3.2","","Nilsson and Northcote","Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246."
"/","","Hickley and Bailey","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159."
":i","","Elliot and Jenkins","Elliot, G. V., & Jenkins, T. M. (1972). Winter food of trout in three high elevation Sierra Nevada lakes. CALIF FISH GAME. VOL 58, NO 3, P 231-237. 1972."
"_","","Cable","Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota)."
"_","","Maitland","Maitland, P. S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River Endrick, Scotland. The Journal of Animal Ecology, 109-133."
"_","","Hickley and Bailey","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159."
"+","","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214."
