"","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"1","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"2","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"3","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"4","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"5","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"6","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"7","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"8","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"9","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"10","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"11","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"12","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"13","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"14","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"15","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"16","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"17","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"18","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"19","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"20","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ephemeroptera",NA,"unknown"
"21","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"22","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"23","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"24","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"25","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"26","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"27","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"28","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
