"","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"1","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"diptera","8.2","unknown"
"2","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"ephemeroptera","1.5","unknown"
"3","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"trichoptera","—","unknown"
"4","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"plecoptera","—","unknown"
"5","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"coleoptera","-","unknown"
"6","0001FFMGG615DEKB172XPGB9HY",NA,NA,NA,NA,"31","88",NA,"mm","total length",NA,"1","1970-02-01","1971-04-01",NA,"creek","mo mention","Mathur","1973","Transactions of the American Fisheries Society","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.","tbl 1","collection time","8",NA,"amphiooda","—","unknown"
"7","0001FFMGHRKR7BV7HWD60MSXXW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","21",NA,"zooplankton","0","unknown"
"8","0001FFMGHRKR7BV7HWD60MSXXW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","21",NA,"pallasea","92.7","unknown"
"9","0001FFMGHRKR7BV7HWD60MSXXW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","21",NA,"mysis","0","unknown"
"10","0001FFMGHRKR7BV7HWD60MSXXW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","21",NA,"gammarus","0","unknown"
