"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"1","0001FGHR7S6P74BXG39FHQB85N",158.02,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","8","1973-07-17"
"2","0001FGHR7SK435E8DVZS9HSZCB",149,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","28","1973-05-01"
"3","0001FGHR7SGRFY87DV7NA0ZGEF",132.88,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","32","1973-07-17"
"4","0001FGHR7S52H7G91K95HAPC3V",110.01,"Surber, E. W. (1941). A quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.","Surber_1941_tbl 3","104","1939-05-25"
"5","0001FGHR7STHXDG57BBHFTW1V0",108,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","37","1971-05-01"
"6","0001FGHR7SV3TCNS0QVZR2TV6C",105.87,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","46","1973-07-17"
"7","0001FGHR7T2HHXZKS3T8Y3FDJZ",105,"Siaw-Yang, Y. (1988). Food resource utilization partitioning of fifteen fish species at Bukit Merah Reservoir, Malaysia. Hydrobiologia, 157(2), 143-160.","Siaw-Yang_1988_tbl 1","20","1979-09-01"
"8","0001FGHR7SC53B2NQH1SV84H47",98,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","38","1972-05-01"
"9","0001FGHR7S6F25KPVZAZF8GP07",97,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","25","1971-08-01"
"10","0001FGHR7S0EDS1D7PSGW2DKJ5",96.64,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 3","135","1973-07-17"
"11","0001FGHR7SGXBDX03NSHB5CX57",96.19,"Surber, E. W. (1941). A quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.","Surber_1941_tbl 3","108","1939-05-25"
