"","type_of_fish"
"1","Astyanax paranae"
"2","Tilapia guineensis"
"3","HYPOPHTHALMUS FIMBRIATUS"
"4","Clariuas gariepinus"
"5","Clarius aghoyiensis"
"6","Clarius huthupogon"
"7","Clarius  macromysiax"
"8","Clarius alhopunctattr.c"
"9","Heterobranchus bidorsalis"
"10","Gymnotus anguillaris"
"11","Geophagus jurupari"
"12","Apistogramma agassizii"
"13","Crenicichla lugubris"
"14","Crenicichla nanus"
"15","Crenicichla notophalmus"
"16","Crenicichla saxatilis"
"17","Cichlasoma festivum"
"18","Oreoehromis niloticus"
"19","Puntis filamentosus"
"20","Astyanax taeniatus"
"21","blackbanded darter"
"22","Phrynops geoffroanus"
"23","Micropogonias furnieri"
"24","Ctenosciaena gracilicirrhus"
"25","Acaronia nassa"
"26","Acestrorhynchus microlepis"
"27","Acestrorhynchus falcirostris"
"28","Ageneiosus aff. dentatus sp1"
"29","Ageneiosus aff. dentatus sp.2"
"30","Ageneiosus sp.1"
"31","Ageneiosus ucayalensis"
"32","Anadoras weddellii"
"33","Anodus elongatus"
"34","Anodus sp."
"35","Astronotus ocellatus"
"36","Auchenipterus nuchalis"
"37","Brycon carpophagus"
"38","Brycon melanopterus"
"39","Calophysus macropterus"
"40","Chaetobranchus flavescens"
"41","Chalceus macrolepidotus"
"42","Cichla monoculus"
"43","Cichlassoma amazonarum"
"44","Colossoma macropomum"
"45","Curimata cyprinoides"
"46","Curimatella meyeri"
"47","Eigenmannina melanopogon"
"48","Electrophorus electricus"
"49","Glyptoperichthys joselimaianus"
"50","Hemiodopsis microlepis"
"51","Hemiodus immaculatus"
"52","Heros severum"
"53","Hoplerythrinus unitaeniatus"
"54","Hoplosternum littorale"
"55","Hydrolycus scomberoides"
"56","Hypophthalmus edentatus"
"57","Hypophthalmus fimbriatus"
"58","Hypophthalmus cf. marginatus"
"59","Hypostomus plecostomus"
"60","Leporinus trifasciatus"
"61","Loricariichthys acutus"
"62","Lycengraulis grossidens"
"63","Mylossoma aureum"
"64","Mylossoma duriventre"
"65","Osteoglossum biccirhosum"
"66","Parauchenipterus galeatus"
"67","Parauchenipterus sp.2"
"68","Pellona castelneana"
"69","Pellona flavipinnis"
"70","Piaractus brachypomus"
"71","Plagioscion montei"
"72","Potamorhina altamazonica"
"73","Potamorhina latior"
"74","Psectrogaster amazonica"
"75","Psectrogaster sp.1"
"76","Pseudodoras niger"
"77","Pseudostylosurus sp."
"78","Pterodoras granulosus"
"79","Pygocentrus nattereri"
"80","Rhaphiodon gibbus"
"81","Rhaphiodon vulpinus"
"82","Rhytiodus argenteofuscus"
"83","Rhytiodus microlepis"
"84","Schizodon fasciatum"
"85","Semaprochilodus theraponura"
"86","Serrasalmus elongatus"
"87","Serrasalmus sp.3"
"88","Serrasalmus spilopleura"
"89","Sorubim lima"
"90","Triportheus albus"
"91","Triportheus angulatus"
"92","Triportheus elongatus"
"93","Mylossoma duriventris"
"94","Parauchenipterus"
"95","Serrasalmus"
"96","Andinoacara pulcher"
"97","Sarotherodon melanotheron"
"98","Dusky darter"
"99","Sockeye salmon"
"100","Brycinus nurse"
"101","Cinclus cinclus"
"102","Motacilla cinerea"
"103","Anguilla anguilla"
"104","Galemys pyrenaicu"
"105","Galemys pyrenaicus"
"106","Neomys anomalus"
"107","Rhinogobius sp."
"108","Lagodon rhomboides"
"109","Tropheus moorii"
"110","Petrochromis orthognatus"
"111","Eretmodus cyanostictus"
"112","Roeboides dayi"
"113","Squalius cephalus"
"114","Leuciscus leuciscus"
"115","Cottus gobio"
"116","Barbatula barbatula"
"117","Morone saxatilis"
"118","Puntius schwanenfeldii"
"119","Puntis strigatus"
"120","Mystus planicep"
"121","Notopterus notopterus"
"122","Trichogaster pectoralis"
"123","Osteochilus hasselti"
"124","Labiobarbus festiva"
"125","Cyclocheilcthys apogon"
"126","Clarias batrachus"
"127","Ophicephalus stratus"
"128","Oxyeleotris marmorata"
"129","Hampala macrolepidota"
"130","Pristolepis fasciatus"
"131","Puntius gonionotus"
"132","Wallago leerii"
"133","Clarias liocephalus"
"134","Chrysichthyes walkeri"
"135","Chrysichthyes filamentosus"
"136","Chrysichthyes nigrodigitatus"
"137","Astyanax sp."
"138","Characidium lanei"
"139","Corydoras barbatus"
"140","Deuterodon langei"
"141","Hisonotus leucofrenatus"
"142","Kronichthys subteres"
"143","Microglanus sp."
"144","Mimagoniates microleps"
"145","Phalloceros caudimoaculatus"
"146","Pimelodella pappenheimi"
"147","Pseudotothyris obtusa"
"148","Rineloricaria kronei"
"149","Schizolecis guntheri"
"150","Catostomus commersonii"
"151","Haplochromis nigricans"
"152","Moxostoma macrolepidotum"
"153","Notropis hudsonius"
"154","Luxilus cornutus"
"155","Notropis atherinoides"
"156","Esox lucius"
"157","Perca flavescens"
"158","Amblopites rupestris"
"159","Etheostoma nigrum"
"160","Tifapiu guineensis"
"161","Tifapiu  melanotherom"
"162","ELOPS LACERTA"
