type_of_fish
Astyanax paranae
Tilapia guineensis
HYPOPHTHALMUS FIMBRIATUS
Clariuas gariepinus
Clarius aghoyiensis
Clarius huthupogon
Clarius  macromysiax
Clarius alhopunctattr.c
Heterobranchus bidorsalis
Gymnotus anguillaris
Geophagus jurupari
Apistogramma agassizii
Crenicichla lugubris
Crenicichla nanus
Crenicichla notophalmus
Crenicichla saxatilis
Cichlasoma festivum
Oreoehromis niloticus
Puntis filamentosus
Astyanax taeniatus
blackbanded darter
Phrynops geoffroanus
Micropogonias furnieri
Ctenosciaena gracilicirrhus
Acaronia nassa
Acestrorhynchus microlepis
Acestrorhynchus falcirostris
Ageneiosus aff. dentatus sp1
Ageneiosus aff. dentatus sp.2
Ageneiosus sp.1
Ageneiosus ucayalensis
Anadoras weddellii
Anodus elongatus
Anodus sp.
Astronotus ocellatus
Auchenipterus nuchalis
Brycon carpophagus
Brycon melanopterus
Calophysus macropterus
Chaetobranchus flavescens
Chalceus macrolepidotus
Cichla monoculus
Cichlassoma amazonarum
Colossoma macropomum
Curimata cyprinoides
Curimatella meyeri
Eigenmannina melanopogon
Electrophorus electricus
Glyptoperichthys joselimaianus
Hemiodopsis microlepis
Hemiodus immaculatus
Heros severum
Hoplerythrinus unitaeniatus
Hoplosternum littorale
Hydrolycus scomberoides
Hypophthalmus edentatus
Hypophthalmus fimbriatus
Hypophthalmus cf. marginatus
Hypostomus plecostomus
Leporinus trifasciatus
Loricariichthys acutus
Lycengraulis grossidens
Mylossoma aureum
Mylossoma duriventre
Osteoglossum biccirhosum
Parauchenipterus galeatus
Parauchenipterus sp.2
Pellona castelneana
Pellona flavipinnis
Piaractus brachypomus
Plagioscion montei
Potamorhina altamazonica
Potamorhina latior
Psectrogaster amazonica
Psectrogaster sp.1
Pseudodoras niger
Pseudostylosurus sp.
Pterodoras granulosus
Pygocentrus nattereri
Rhaphiodon gibbus
Rhaphiodon vulpinus
Rhytiodus argenteofuscus
Rhytiodus microlepis
Schizodon fasciatum
Semaprochilodus theraponura
Serrasalmus elongatus
Serrasalmus sp.3
Serrasalmus spilopleura
Sorubim lima
Triportheus albus
Triportheus angulatus
Triportheus elongatus
Mylossoma duriventris
Parauchenipterus
Serrasalmus
Andinoacara pulcher
Sarotherodon melanotheron
Dusky darter
Sockeye salmon
Brycinus nurse
Cinclus cinclus
Motacilla cinerea
Anguilla anguilla
Galemys pyrenaicu
Galemys pyrenaicus
Neomys anomalus
Rhinogobius sp.
Lagodon rhomboides
Tropheus moorii
Petrochromis orthognatus
Eretmodus cyanostictus
Roeboides dayi
Squalius cephalus
Leuciscus leuciscus
Cottus gobio
Barbatula barbatula
Morone saxatilis
Puntius schwanenfeldii
Puntis strigatus
Mystus planicep
Notopterus notopterus
Trichogaster pectoralis
Osteochilus hasselti
Labiobarbus festiva
Cyclocheilcthys apogon
Clarias batrachus
Ophicephalus stratus
Oxyeleotris marmorata
Hampala macrolepidota
Pristolepis fasciatus
Puntius gonionotus
Wallago leerii
Clarias liocephalus
Chrysichthyes walkeri
Chrysichthyes filamentosus
Chrysichthyes nigrodigitatus
Astyanax sp.
Characidium lanei
Corydoras barbatus
Deuterodon langei
Hisonotus leucofrenatus
Kronichthys subteres
Microglanus sp.
Mimagoniates microleps
Phalloceros caudimoaculatus
Pimelodella pappenheimi
Pseudotothyris obtusa
Rineloricaria kronei
Schizolecis guntheri
Catostomus commersonii
Haplochromis nigricans
Moxostoma macrolepidotum
Notropis hudsonius
Luxilus cornutus
Notropis atherinoides
Esox lucius
Perca flavescens
Amblopites rupestris
Etheostoma nigrum
Tifapiu guineensis
Tifapiu  melanotherom
ELOPS LACERTA
HEMICHROMIS FASCIATUS
CHRYSICHTHYS NIGRODIGITATUS
LIZA FALCININNIS
Maylandia zebra
Maylandia callainos
Labeotropheus trewavasae
Pseudotropheus
largemouth bass
White catfish
Bagrus  bayad  macropterus
Bagrus  doniac  niger
Chrysicthys auratus longifilis
Chrysicthys  nigrodigitatus
Chrysicthys  furcatus
Auchenoglanis occidentalis
Oncorhynchus mykiss
Carp
Australian Smelt
Gambusia
Rainbowfish
Carp gudgeon
Murray cod
Hyphessobrycon bellotti
Moenkhausia ceros
Moenkhuasia lepidura
Megalamphodus micropterus
Bryconops inpai
Hemmigramus ocellifer
Poecilobrycon unifasciatus
Pyrrhulina brevis
Copelia nattereri
Crenuchus spilurus
Callichthys callichthys
Rhamdia sp.
