type_of_fish,fish_genus,fish_order,fish_family,fish_class,fish_superclass,fish_species
Salvelinus alpinus,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Salvelinus alpinus
Black crappie,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Pomoxis nigromaculatus
Semotilus bullaris,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Semotilus bullaris
Leusiscus vandoisulus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Leuciscus vandoisulus
Notropis procne,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Notropis procne
Rhynichthys atronasus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Rhynichthys atronasus
Exoglossum maxillingua,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Exoglossum maxillingua
Notropis chrosomus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Notropis chrosomus
Micropogon undulatus,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Micropogonias undulatus
Pogonias cromis,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Pogonias cromis
Anchoa mitchilli,NA,Clupeiformes,Engraulidae,Actinopterygii,Osteichthyes,Anchoa mitchilli
Galeichthys felis,NA,Siluriformes,Ariidae,Actinopterygii,Osteichthyes,Ariopsis felis
Menidia beryllina,NA,Atheriniformes,Atherinopsidae,Actinopterygii,Osteichthyes,Menidia beryllina
Morone interrupto,NA,Perciformes,Moronidae,Actinopterygii,NA,Morone mississippiensis
Cynoscion arenarius,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Cynoscion arenarius
Cynoscion nebulosus,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Cynoscion nebulosus
Leiostomus xanthurus,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Leiostomus xanthurus
Galeichthys f  elis,NA,Siluriformes,Ariidae,Actinopterygii,NA,Galeichthys f  elis
Morone interrupta,NA,Perciformes,Moronidae,Actinopterygii,NA,Morone mississippiensis
Bairdiella chrysura,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Bairdiella chrysoura
Raphiodon  vulpinus,NA,Characiformes,Cynodontidae,Actinopterygii,NA,Rhaphiodon vulpinus
Salminus maxillosus,NA,Characiformes,Bryconidae,Actinopterygii,Osteichthyes,Salminus brasiliensis
Acestrohyncus  lacustris,NA,Characiformes,Acestrorhynchidae,Actinopterygii,NA,Acestrorhynchus lacustris
Hoplias  malabaricus,NA,Characiformes,Erythrinidae,Actinopterygii,NA,Hoplias malabaricus
Plagioscion squamosissimus,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Plagioscion squamosissimus
Bagrus bayadi,NA,Siluriformes,Bagridae,Actinopterygii,NA,Bagrus bajad
Bagrus docmac,NA,Siluriformes,Bagridae,Actinopterygii,Osteichthyes,Bagrus docmak
Pseudogastromzyon myersi,NA,Cypriniformes,Balitoridae,Actinopterygii,NA,Pseudogastromyzon myersi
Liniparhomaloptera dispar,NA,Cypriniformes,Balitoridae,Actinopterygii,NA,Liniparhomaloptera disparis
Lepomis m. macrochirus,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Lepomis m. macrochirus
Gila bicolor pectinifer,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Siphateles bicolor
Gila bicolor,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Siphateles bicolor
