"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"1","surface_food","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
"2","chironomid_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"3","radix_peregra","unknown","Metazoa","Gastropoda",NA,"Lymnaeidae","Peregriana peregra",NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"4","sticklebacks","unknown","Animalia","Actinopterygii","Gasterosteiformes","Gasterosteidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"5","benthic_crustacea","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"6","plankton","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"7","ostracoda","unknown","Metazoa","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"8","trichoptera","unknown","Metazoa","Insecta","Trichoptera",NA,NA,"Trichoptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"9","hemiptera","unknown","Metazoa","Insecta","Hemiptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"10","cladocera","unknown","Metazoa","Branchiopoda","Diplostraca",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"11","hymenoptera","unknown","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"12","annelida","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"13","homoptera","unknown","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"14","fish_eggs","eggs","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"15","coleoptera","unknown","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"16","decapoda","unknown","Metazoa","Malacostraca","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"17","gastropoda","unknown","Metazoa","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"18","chaoborids","unknown","Animalia","Insecta","Diptera","Chaoboridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"19","fish_and_fish_remains","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"20","isopoda","unknown","Metazoa","Malacostraca","Isopoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"21","tendipeds","unknown","Animalia","Insecta","Diptera","Tendipedidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"22","amphipoda","unknown","Metazoa","Malacostraca","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"23","mysidacea","unknown","Metazoa","Malacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"24","crustacea","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"25","diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"26","filamentous_algae","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"27","unidenfied_plant","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"28","chaetopoda","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"29","diplopoda","unknown","Metazoa","Diplopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"30","ephemeroptera_larvae","larvae","Metazoa","Insecta","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"31","plecoptera_larvae","larvae","Metazoa","Insecta","Plecoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"32","coleoptera_larvae","larvae","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"33","coleoptera_adult","adults","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"34","lepidoptera_larvae","larvae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"35","lepidoptera_pupae","pupae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"36","diptera_larvae","larvae","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"37","diptera_adult","adults","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"38","hymenoptera_adult","adults","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"39","unidentified_insect","unknown","Animalia","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"40","fish","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"41","unidentified_debris","unknown","Metazoa","Clitellata",NA,NA,"unidentified",NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"42","thysanura_adult","adults","Animalia","Insecta","Thysanura",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"43","odonata_larvae","larvae","Metazoa","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"44","trichoptera_larvae","larvae","Animalia","Insecta","Trichoptera",NA,NA,"Trichoptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"45","orthoptera_adult","adults","Metazoa","Insecta","Orthoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"46","arachnida","unknown","Metazoa","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"47","mollusca","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"48","unidentified_plant_remains","unknown","Plantae",NA,NA,NA,"unidentified","Plantae",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"49","unsegmented_worms","unknown","Animalia","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"50","acarida","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"51","lepidoptera_larval","larvae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"52","arichnida","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"53","unidentified_insects","unknown","Animalia","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"54","fish_ova","eggs","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"55","ephemeroptera","unknown","Metazoa","Insecta","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"56","lepidoptera","unknown","Metazoa","Insecta","Naviculales",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"57","chironomidae_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"58","nematoda","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"59","physa_sp","unknown","Metazoa","Gastropoda",NA,"Physidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"60","unidentifed_parts","unknown","Metazoa","Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"61","ova_eggs","eggs","Animalia","Echinoidea","Spatangoida","Schizasteridae",NA,NA,"Echinodermata",NA,NA,NA,NA,"aquatic"
"62","collembola","unknown","Metazoa","Collembola",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"63","calanoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"64","rangia_cuneata","unknown","Metazoa","Bivalvia","Veneroida","Mactridae","Rangia cuneata",NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"65","foraminifera","unknown","Chromista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"66","dipter_larvae","larvae","Animalia","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"67","rithropanopeus_harrisii","unknown","Metazoa","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus harrisii",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"68","cirripedia","unknown","Metazoa","Hexanauplia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"69","bottom_diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"70","insecta_undet","unknown","Metazoa","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"71","hydroids","unknown","Animalia","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"72","algae_filamentous","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"73","copepoda_arguloid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"74","palaemonid_shrimp_undet","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"75","odonata","unknown","Metazoa","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"76","sand","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","aquatic or terrestrial"
"77","palaemonetes_sp","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"78","eggs_and_cysts","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"79","copepoda_undet","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"80","harpacticoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"81","crabs_undet","unknown","Animalia","Malacostraca","Decapoda",NA,NA,NA,"Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"82","diptera","unknown","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"83","sponges","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"84","vascular_plants","unknown","Viridiplantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"85","rotifera","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"86","insecta","unknown","Metazoa","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"87","mytilopsis_leucopheata","unknown","Animalia","Bivalvia","Myida","Dreissenidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"88","detritus","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"89","mysid_shrimp","unknown","Animalia","Malacostraca","Mysida","Mysidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"90","rot_if_era","unknown","Animalia",NA,"Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"91","planktonic_diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
