prey_taxon
abbottina rivularis
acartia sp
achaeta
acheilognathus 31
acheilognathus 32
acteomicidae
africallagma
agraylea multipunctata_larvae
aloidis spp
ampullariidae
and eggs
anguilla rostrata
anomura
appasus
arctocorisa germari
arhynchobdellida
asterionella
athericidae
bairdiella chrysoura
bait menhaden_spot_etc
brevoortia tyrannus
brychius spp
bryonensis
c carinata
c nilotica
c pulchella
callicorixa praeusta
callinectes sapidus
calopterygidae
caprella
caranx spp_juvenile
centrales
chaetoceros
chitinous remains
chiysicihys sp
chlaenius yestitus_adult
chodatella
chrysichthys spp
chrysicthys sp
chum ground_menhaden
cilchristella aestuaria
clibernarius africanus
cordulegastridae
cultrichthys erythropterus
cumulative 29
cumulative 36
cumulative 39
cumulative 43
cumulative 52
dinobryon
e fmbriata
elopid
elops spp_juvenile
erpobdella octoculata
eucampia
eucinostomus argenteus
formic oidea
formicoidea
g giurus
g lignorunz
g melanopterus_juvenile
garri fibres
glaucocystis
glossogobius callidus
h orbiculare
hydrochoreutes ungulatus
hypsoblennius hentzi
ilybius fuliginosus_adult
iphigenia spp
iphigenia truncata
ischnura
leaves
lebertia porosa
leiostomus xanthurus
lestes
lironeca ovalis
mastogloia
membras martinica
microchaeta
micropercops swinhonis
morone americana
morone saxatilis
mugil curema
mystacides azurea_larvae
mytilid
mytilus edulis
myxus capensis
neritina spp
nymphea spp
oikopleura
orthorrapha
ovalipes ocellatus
p adttsta
p latipes
p philander
p sidneyi
pachymelania bryonensis
paleamonetes pugio
palpomyia
paracheilognathus
paralichthys dentatus
pelteobagrus fulvidraco
penales
peprilus triacanthus
phaenospectra sergentia_larvae
pholidina spp
phryganea sp_larvae
piona coccinea
polichaetatubs
pomatomus saltatrix
potamonautes sidneyi
protista
psycharidae
pteridophyta
reduviidae assassin_bugs
reptilia scincidae_probably_leiolopisma_mettalicum_metallic_skink
rice
s mossambicus
sapphirina
sarcocheilichthys
scophthalmus aquosus
sericostomatidae
sididae
siniperca chuatsi
snipe fly_larvae
sphaeridium scarabeoides_adult
sphoeroides maculatus
sporangium pteridophyta
squalidus nitens
squilla empusa
strongylura marina
symphurus plagiusa
synociontis sp
synodus foetens
tagelus spp
thalassiothrix
thallassius massajae
toxabramis swinhonis
trichiurus spp_juvenile
trichodesmium
trinectes maculatus
trithemus
trochacea
umnicolidae hidrobia
upogebia affinis
urophycis regia
watermite
x1phigenia truncata
x52
zignemaphyceae
