"prey_taxon","first","last","ending"
"algae nostoc_sp","Algae","nostoc","ae"
"algae fit","Algae","fit","ae"
"chaleidinidae","Chaleidinidae",NA,"ae"
"acalyptratae","Acalyptratae",NA,"ae"
"banchinae","Banchinae",NA,"ae"
"campsurinae fragments_nymphs","Campsurinae","fragments","ae"
"ctenopelmatinae","Ctenopelmatinae",NA,"ae"
"diplazontinae","Diplazontinae",NA,"ae"
"phygadeuontidae","Phygadeuontidae",NA,"ae"
"pimplinidae","Pimplinidae",NA,"ae"
"tryphoninae","Tryphoninae",NA,"ae"
"xenosphecinae","Xenosphecinae",NA,"ae"
"xoridinae","Xoridinae",NA,"ae"
"exuviae","Exuviae",NA,"ae"
"hirudineae","Hirudineae",NA,"ae"
"hydrachnellidae","Hydrachnellidae",NA,"ae"
"filamentousalgae","Filamentousalgae",NA,"ae"
