type_fishmatch,type_of_fish,fish_order,fish_family,fish_species,fish_class,fish_superclass
Acestrorhynchus lacustris,Acestrorhynchus lacustris,Characiformes,Acestrorhynchidae,Acestrorhynchus lacustris,Actinopterygii,Osteichthyes
Lake sturgeon,Lake sturgeon,Acipenseriformes,Acipenseridae,Acipenser fulvescens,Actinopterygii,NA
Atlantic sturgeon,Atlantic sturgeon,Acipenseriformes,Acipenseridae,Acipenser oxyrinchus,Actinopterygii,NA
White sturgeon,White sturgeon,Acipenseriformes,Acipenseridae,Acipenser transmontanus,Actinopterygii,NA
Scaphirhynchus albus,Scaphirhynchus_albus,Acipenseriformes,Acipenseridae,Scaphirhynchus albus,Actinopterygii,Osteichthyes
Scaphirhynchus platorynchus,Scaphirhynchus_platorynchus,Acipenseriformes,Acipenseridae,Scaphirhynchus platorynchus,Actinopterygii,Osteichthyes
Hydrocynus forskahlii,Hydrocynus forskahlii,Characiformes,Alestidae,Hydrocynus forskahlii,Actinopterygii,Osteichthyes
Alestes macrolepidotus,Alestes macrolepidotus,Characiformes,Alestidae,Brycinus macrolepidotus,Actinopterygii,Osteichthyes
Micralestes acutidens,Micralestes acutidens,Characiformes,Alestidae,Micralestes acutidens,Actinopterygii,Osteichthyes
Hydrocynus forskalii,Hydrocynus forskalii,Characiformes,Alestidae,Hydrocynus forskahlii,Actinopterygii,Osteichthyes
Byrclnus lateralis,Byrclnus lateralis,Characiformes,Alestidae,Brycinus lateralis,Actinopterygii,NA
Ctenopoma kingsleyae,Ctenopoma kingsleyae,Perciformes,Anabantidae,Ctenopoma kingsleyae,Actinopterygii,Osteichthyes
Sandelia capensis,Sandelia capensis,Perciformes,Anabantidae,Sandelia capensis,Actinopterygii,Osteichthyes
Ctenopoma petherici,Ctenopoma petherici,Perciformes,Anabantidae,Ctenopoma petherici,Actinopterygii,Osteichthyes
Anguilla reinhardtii,Anguilla reinhardtii,Anguilliformes,Anguillidae,Anguilla reinhardtii,Actinopterygii,Osteichthyes
Anguilla australis,Anguilla australis,Anguilliformes,Anguillidae,Anguilla australis,Actinopterygii,Osteichthyes
Anguilla mossambica,Anguilla mossambica,Anguilliformes,Anguillidae,Anguilla mossambica,Actinopterygii,Osteichthyes
Leporinus friderici,Leporinus friderici,Characiformes,Anostomidae,Leporinus friderici,Actinopterygii,Osteichthyes
Schizodon nasutus,Schizodon nasutus,Characiformes,Anostomidae,Schizodon nasutus,Actinopterygii,Osteichthyes
Freshwater Drum,Freshwater Drum,Perciformes,Sciaenidae,Aplodinotus grunniens,Actinopterygii,Osteichthyes
Freshwater drum,Freshwater drum,Perciformes,Sciaenidae,Aplodinotus grunniens,Actinopterygii,Osteichthyes
Heterotis niloticus,Heterotis niloticus,Osteoglossiformes,Arapaimidae,Heterotis niloticus,Actinopterygii,Osteichthyes
Galeichthys felis,Galeichthys felis,Siluriformes,Ariidae,Ariopsis felis,Actinopterygii,Osteichthyes
Menidia beryllina,Menidia beryllina,Atheriniformes,Atherinopsidae,Menidia beryllina,Actinopterygii,Osteichthyes
Labidesthes sicculus,Labidesthes sicculus,Atheriniformes,Atherinopsidae,Labidesthes sicculus,Actinopterygii,Osteichthyes
Bagrus docmac,Bagrus docmac,Siluriformes,Bagridae,Bagrus docmak,Actinopterygii,Osteichthyes
Bagrus bayad,Bagrus bayad,Siluriformes,Bagridae,Bagrus bajad,Actinopterygii,Osteichthyes
Puntius Schwanenfeldii,Puntius Schwanenfeldii,Cypriniformes,Cyprinidae,Barbonymus schwanefeldii,Actinopterygii,NA
Salminus maxillosus,Salminus maxillosus,Characiformes,Bryconidae,Salminus brasiliensis,Actinopterygii,Osteichthyes
Roeboides affinis,Roeboides affinis,Characiformes,Characidae,Bryconops affinis,Actinopterygii,NA
River Carpsucker,River Carpsucker,Cypriniformes,Cyprinidae,Carpiodes carpio,Actinopterygii,NA
Catostomus insignis,Catostomus insignis,Cypriniformes,Catostomidae,Catostomus insignis,Actinopterygii,Osteichthyes
Hypentelium etowanum,Hypentelium etowanum,Cypriniformes,Catostomidae,Hypentelium etowanum,Actinopterygii,Osteichthyes
Common red horse,Common red horse,Cypriniformes,Catostomidae,Moxostoma pisolabrum,Actinopterygii,NA
Common sucker,Common sucker,Cypriniformes,Catostomidae,Catostomus commersonii,Actinopterygii,NA
black crappie,black crappie,Perciformes,Centrarchidae,Pomoxis nigromaculatus,Actinopterygii,NA
Micropterus dolomieu,Micropterus dolomieu,Perciformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,Osteichthyes
Micropterus dolomieu,Micropterus dolomieu,Perciformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,Osteichthyes
Micropterus salmoides,Micropterus_salmoides,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,Osteichthyes
Micropterus salmoides,Micropterus_salmoides,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,Osteichthyes
Micropterus punctulatus,Micropterus_punctulatus,Perciformes,Centrarchidae,Micropterus punctulatus,Actinopterygii,Osteichthyes
Micropterus dolomieu,Micropterus_dolomieu,Centrarchiformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,Osteichthyes
Micropterus dolomieu,Micropterus_dolomieu,Centrarchiformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,Osteichthyes
Ambloplites rupestris,Ambloplites_rupestris,Perciformes,Centrarchidae,Ambloplites rupestris,Actinopterygii,Osteichthyes
Lepomis macrochirus,Lepomis_macrochirus,Perciformes,Centrarchidae,Lepomis macrochirus,Actinopterygii,Osteichthyes
Lepomis megalotis,Lepomis_megalotis,Perciformes,Centrarchidae,Lepomis megalotis,Actinopterygii,Osteichthyes
