"type_of_fish","fish_order","fish_family","fish_species"
"black crappie","Perciformes","Centrachidae","Pomoxis nigromaculatus"
"Luxilus cardinalis","Cypriniformes","Cyprinidae","Luxilus cardinalis"
"Semotilus bullaris","Cypriniformes","Cyprinidae","Semotilus bullaris"
"Leusiscus vandoisulus","Cypriniformes","Cyprinidae","Leuciscus vandoisulus"
"Notropis procne","Cypriniformes","Cyprinidae","Notropis procne"
"Notropis cornutus","Cypriniformes","Cyprinidae","Luxilus cornutus"
"Rhynichthys atronasus","Cypriniformes","Cyprinidae","Rhynichthys atronasus"
"Exoglossum maxillingua","Cypriniformes","Cyprinidae","Exoglossum maxillingua"
"Gila bicolor","Cypriniformes","Cyprinidae","Siphateles bicolor"
"Gila bicolor obesa","Cypriniformes","Cyprinidae","Siphateles bicolor"
"Gila bicolor Pectinifer","Cypriniformes","Cyprinidae","Siphateles bicolor"
"Notropis venustus","Cypriniformes","Cyprinidae","Cyprinella venusta"
"Notropis longirostris","Cypriniformes","Cyprinidae","Notropis longirostris"
"Notropis chrosomus","Cypriniformes","Cyprinidae","Notropis chrosomus"
"prosopium williamsoni","Salmoniformes","Salmonidae","Prosopium williamsoni"
"Notropis biguttatus","Cypriniformes","Cyprinidae","Notropis biguttatus"
"Notropis micropogon","Cypriniformes","Cyprinidae","Notropis micropogon"
"Notropis zonistius","Cypriniformes","Cyprinidae","Luxilus zonistius"
"Barbys oligolepis","Cypriniformes","Cyprinidae","Oliotius oligolepis"
"Squalius cii","Cypriniformes","Cyprinidae","Squalius cii"
"Semotilus corporalis","Cypriniformes","Cyprinidae","Semotilus corporalis"
"Squalius carolitertii","Cypriniformes","Cyprinidae","Squalius carolitertii"
"Cyprinella trichroistia","Cypriniformes","Cyprinidae","Cyprinella trichroistia"
"Micropterus dolomieu","Perciformes","Centrarchidae","Micropterus dolomieu"
"Stizostedion canadense","Perciformes","Percidae","Sander canadensis"
"Etheostoma  punctufatum","Perciformes","Percidae","Etheostoma punctulatum"
"Notropis girardi","Cypriniformes","Cyprinidae","Notropis girardi"
"Macrhybopsis tetranema","Cypriniformes","Cyprinidae","Macrhybopsis tetranema"
"Notropis sabinae","Cypriniformes","Cyprinidae","Notropis sabinae"
"Leporinus friderici","Characiformes","Anostomidae","Leporinus friderici"
"THYMALLUS MONTANUS","Salmoniformes","Salmonidae","Thymallus arcticus"
"Catostomus insignis","Cypriniformes","Catostomidae","Catostomus insignis"
"Pantosterus clarki","Cypriniformes","Catostomidae","Catostomus clarkii"
"Anchoa mitchilli","Clupeiformes","Engraulidae","Anchoa mitchilli"
"Micropogon undulatus","Perciformes","Sciaenidae","Micropogonias undulatus"
"Pogonias cromis","Perciformes","Sciaenidae","Pogonias cromis"
"Lagodon rhomboides","Perciformes","Sparidae","Lagodon rhomboides"
"Galeichthys felis","Siluriformes","Ariidae","Ariopsis felis"
"Ictalurus furcatus","Siluriformes","Ictaluridae","Ictalurus furcatus"
"Menidia beryllina","Atheriniformes","Atherinopsidae","Menidia beryllina"
"Morone interrupto","Perciformes","Moronidae","Morone mississippiensis"
"Bairdiella chrysura","Perciformes","Sciaenidae","Bairdiella chrysoura"
"Cynoscion arenarius","Perciformes","Sciaenidae","Cynoscion arenarius"
"Cynoscion nebulosus","Perciformes","Sciaenidae","Cynoscion nebulosus"
"Leiostomus xanthurus","Perciformes","Sciaenidae","Leiostomus xanthurus"
"Bagrus bayadi","Siluriformes","Bagridae","Bagrus bajad"
"Bagrus docmac","Siluriformes","Bagridae","Bagrus docmak"
"Awaous guamensis","Perciformes","Gobiidae","Awaous guamensis"
"Sicyopterus stimpsoni","Perciformes","Gobiidae","Sicyopterus stimpsoni"
"Glanidium ribeiroi","Siluriformes","Auchenipteridae","Glanidium ribeiroi"
"Chrysichthys nigrodigitatus","Siluriformes","Claroteidae","Chrysichthys nigrodigitatus"
"Siluranodon auritus","Siluriformes","Schilbeidae","Siluranodon auritus"
"Physailia pellucida","Siluriformes","Schilbeidae","Parailia pellucida"
"Salvelinus alpinus","Salmoniformes","Salmonidae","Salvelinus alpinus"
"Gasterosteus aculeatus","Gasterosteiformes","Gasterosteidae","Gasterosteus aculeatus"
"Caranx hippos","Perciformes","Carangidae","Caranx hippos"
"Citharichthys stampflii","Pleuronectiformes","Paralichthyidae","Citharichthys stampflii"
"Cynoglossus senegalensis","Pleuronectiformes","Cynoglossidae","Cynoglossus senegalensis"
"Eleotris senegalensis","Perciformes","Eleotridae","Eleotris senegalensis"
"Elops lacerta","Elopiformes","Elopidae","Elops lacerta"
"Epinephelus aeneus","Perciformes","Serranidae","Epinephelus aeneus"
"Ethmalosa fimbriata","Clupeiformes","Clupeidae","Ethmalosa fimbriata"
"Gerres melanopterus","Perciformes","Gerreidae","Eucinostomus melanopterus"
"Gerres nigri","Perciformes","Gerreidae","Gerres nigri"
"Hemichromis fasciatus","Perciformes","Cichlidae","Hemichromis fasciatus"
"Liza dumerili","Mugiliformes","Mugilidae","Chelon dumerili"
"Liza falcipinnis","Mugiliformes","Mugilidae","Neochelon falcipinnis"
