"","type_of_fish","fish_order","fish_family","fish_species"
"1","black crappie","Perciformes","Centrachidae","Pomoxis nigromaculatus"
"2","Luxilus cardinalis","Cypriniformes","Cyprinidae","Luxilus cardinalis"
"3","Semotilus bullaris","Cypriniformes","Cyprinidae","Semotilus bullaris"
"4","Leusiscus vandoisulus","Cypriniformes","Cyprinidae","Leuciscus vandoisulus"
"5","Notropis procne","Cypriniformes","Cyprinidae","Notropis procne"
"6","Notropis cornutus","Cypriniformes","Cyprinidae","Luxilus cornutus"
"7","Rhynichthys atronasus","Cypriniformes","Cyprinidae","Rhynichthys atronasus"
"8","Exoglossum maxillingua","Cypriniformes","Cyprinidae","Exoglossum maxillingua"
"9","Gila bicolor","Cypriniformes","Cyprinidae","Siphateles bicolor"
"10","Gila bicolor obesa","Cypriniformes","Cyprinidae","Siphateles bicolor"
"11","Gila bicolor Pectinifer","Cypriniformes","Cyprinidae","Siphateles bicolor"
"12","Notropis venustus","Cypriniformes","Cyprinidae","Cyprinella venusta"
"13","Notropis longirostris","Cypriniformes","Cyprinidae","Notropis longirostris"
"14","Notropis chrosomus","Cypriniformes","Cyprinidae","Notropis chrosomus"
"15","prosopium williamsoni","Salmoniformes","Salmonidae","Prosopium williamsoni"
"16","Notropis biguttatus","Cypriniformes","Cyprinidae","Notropis biguttatus"
"17","Notropis micropogon","Cypriniformes","Cyprinidae","Notropis micropogon"
"18","Notropis zonistius","Cypriniformes","Cyprinidae","Luxilus zonistius"
"19","Barbys oligolepis","Cypriniformes","Cyprinidae","Oliotius oligolepis"
"20","Squalius cii","Cypriniformes","Cyprinidae","Squalius cii"
"21","Semotilus corporalis","Cypriniformes","Cyprinidae","Semotilus corporalis"
"22","Squalius carolitertii","Cypriniformes","Cyprinidae","Squalius carolitertii"
"23","Cyprinella trichroistia","Cypriniformes","Cyprinidae","Cyprinella trichroistia"
"24","Micropterus dolomieu","Perciformes","Centrarchidae","Micropterus dolomieu"
"25","Stizostedion canadense","Perciformes","Percidae","Sander canadensis"
"26","Etheostoma  punctufatum","Perciformes","Percidae","Etheostoma punctulatum"
"27","Notropis girardi","Cypriniformes","Cyprinidae","Notropis girardi"
"28","Macrhybopsis tetranema","Cypriniformes","Cyprinidae","Macrhybopsis tetranema"
"29","Notropis sabinae","Cypriniformes","Cyprinidae","Notropis sabinae"
"30","Leporinus friderici","Characiformes","Anostomidae","Leporinus friderici"
"31","THYMALLUS MONTANUS","Salmoniformes","Salmonidae","Thymallus arcticus"
"32","Catostomus insignis","Cypriniformes","Catostomidae","Catostomus insignis"
"33","Pantosterus clarki","Cypriniformes","Catostomidae","Catostomus clarkii"
"34","Anchoa mitchilli","Clupeiformes","Engraulidae","Anchoa mitchilli"
"35","Micropogon undulatus","Perciformes","Sciaenidae","Micropogonias undulatus"
"36","Pogonias cromis","Perciformes","Sciaenidae","Pogonias cromis"
"37","Lagodon rhomboides","Perciformes","Sparidae","Lagodon rhomboides"
"38","Galeichthys felis","Siluriformes","Ariidae","Ariopsis felis"
"39","Ictalurus furcatus","Siluriformes","Ictaluridae","Ictalurus furcatus"
"40","Menidia beryllina","Atheriniformes","Atherinopsidae","Menidia beryllina"
"41","Morone interrupto","Perciformes","Moronidae","Morone mississippiensis"
"42","Bairdiella chrysura","Perciformes","Sciaenidae","Bairdiella chrysoura"
"43","Cynoscion arenarius","Perciformes","Sciaenidae","Cynoscion arenarius"
"44","Cynoscion nebulosus","Perciformes","Sciaenidae","Cynoscion nebulosus"
"45","Leiostomus xanthurus","Perciformes","Sciaenidae","Leiostomus xanthurus"
"46","Bagrus bayadi","Siluriformes","Bagridae","Bagrus bajad"
"47","Bagrus docmac","Siluriformes","Bagridae","Bagrus docmak"
"48","Awaous guamensis","Perciformes","Gobiidae","Awaous guamensis"
"49","Sicyopterus stimpsoni","Perciformes","Gobiidae","Sicyopterus stimpsoni"
"50","Glanidium ribeiroi","Siluriformes","Auchenipteridae","Glanidium ribeiroi"
"51","Chrysichthys nigrodigitatus","Siluriformes","Claroteidae","Chrysichthys nigrodigitatus"
"52","Siluranodon auritus","Siluriformes","Schilbeidae","Siluranodon auritus"
"53","Physailia pellucida","Siluriformes","Schilbeidae","Parailia pellucida"
"54","Salvelinus alpinus","Salmoniformes","Salmonidae","Salvelinus alpinus"
"55","Gasterosteus aculeatus","Gasterosteiformes","Gasterosteidae","Gasterosteus aculeatus"
"56","Caranx hippos","Perciformes","Carangidae","Caranx hippos"
"57","Citharichthys stampflii","Pleuronectiformes","Paralichthyidae","Citharichthys stampflii"
"58","Cynoglossus senegalensis","Pleuronectiformes","Cynoglossidae","Cynoglossus senegalensis"
"59","Eleotris senegalensis","Perciformes","Eleotridae","Eleotris senegalensis"
"60","Elops lacerta","Elopiformes","Elopidae","Elops lacerta"
"61","Epinephelus aeneus","Perciformes","Serranidae","Epinephelus aeneus"
"62","Ethmalosa fimbriata","Clupeiformes","Clupeidae","Ethmalosa fimbriata"
"63","Gerres melanopterus","Perciformes","Gerreidae","Eucinostomus melanopterus"
"64","Gerres nigri","Perciformes","Gerreidae","Gerres nigri"
"65","Hemichromis fasciatus","Perciformes","Cichlidae","Hemichromis fasciatus"
"66","Liza dumerili","Mugiliformes","Mugilidae","Chelon dumerili"
"67","Liza falcipinnis","Mugiliformes","Mugilidae","Neochelon falcipinnis"
"68","Liza grandisquamis","Mugiliformes","Mugilidae","Parachelon grandisquamis"
"69","Lutjanus agennes","Perciformes","Lutjanidae","Lutjanus agennes"
"70","Lutjanus goriensis","Perciformes","Lutjanidae","Lutjanus goreensis"
"71","Monodactylus sebae","Perciformes","Monodactylidae","Monodactylus sebae"
"72","Mugil bananensis","Mugiliformes","Mugilidae","Mugil bananensis"
"73","Mugil cephalus","Mugiliformes","Mugilidae","Mugil cephalus"
"74","Mugil curema","Mugiliformes","Mugilidae","Mugil curema"
"75","Myrophys plumbeus","Anguilliformes","Ophichthidae","Myrophis plumbeus"
"76","Polydactylus quadrifilis","Perciformes","Polynemidae","Polydactylus quadrifilis"
"77","Pomadasys jubelini","Perciformes","Haemulidae","Pomadasys jubelini"
"78","Pomadasys peroteti","Perciformes","Haemulidae","Pomadasys perotaei"
"79","Progobius schlegelii","Perciformes","Gobiidae","Porogobius schlegelii"
"80","Sarotherodon melanotheron","Perciformes","Cichlidae","Sarotherodon melanotheron"
"81","Sphyraena afra","Perciformes","Sphyraenidae","Sphyraena afra"
"82","Strongylura senegalensis","Beloniformes","Belonidae","Strongylura senegalensis"
"83","Synaptura lusitanica","Pleuronectiformes","Soleidae","Dagetichthys lusitanicus"
"84","Tilapia guineensis","Perciformes","Cichlidae","Coptodon guineensis"
"85","Tilapia zillii","Perciformes","Cichlidae","Coptodon zillii"
"86","Trachinotus teraia","Perciformes","Carangidae","Trachinotus teraia"
"87","Aplocheilichthys pfaffi","Cyprinodontiformes","Poeciliidae","Micropanchax pfaffi"
"88","Barbus callipterus","Cypriniformes","Cyprinidae","Enteromius callipterus"
"89","Brycinus longipinnis","Characiformes","Alestidae","Brycinus longipinnis"
"90","Chromidotilapia guntheri","Perciformes","Cichlidae","Chromidotilapia guntheri"
"91","Chrysichthys auratus","Siluriformes","Claroteidae","Chrysichthys auratus"
"92","Hepsetus odoe","Characiformes","Hepsetidae","Hepsetus odoe"
"93","Parachanna obscura","Perciformes","Channidae","Parachanna obscura"
"94","Pellonula sp.","Clupeiformes","Clupeidae","Pellonula sp."
"95","Protopterus annectens","Lepidosireniformes","Protopteridae","Protopterus annectens"
"96","Sarotherodon galilaeus","Perciformes","Cichlidae","Sarotherodon galilaeus"
"97","Tilapia mariae","Perciformes","Cichlidae","Pelmatolapia mariae"
"98","Xenomystus nigri","Osteoglossiformes","Notopteridae","Xenomystus nigri"
"99","Acestrohyncus  lacustris","Characiformes","Acestrorhynchidae","Acestrorhynchus lacustris"
"100","Hoplias  malabaricus","Characiformes","Erythrinidae","Hoplias malabaricus"
"101","Plagioscion squamosissimus","Perciformes","Sciaenidae","Plagioscion squamosissimus"
"102","Raphiodon  vulpinus","Characiformes","Cynodontidae","Rhaphiodon vulpinus"
"103","Salminus maxillosus","Characiformes","Bryconidae","Salminus brasiliensis"
"104","Astyanax sp.","Characiformes","Characidae","Astyanax sp."
"105","Characidium lanei","Characiformes","Crenuchidae","Characidium lanei"
"106","Corydoras barbatus","Siluriformes","Callichthyidae","Scleromystax barbatus"
"107","Deuterodon langei","Characiformes","Characidae","Deuterodon langei"
"108","Hisonotus leucofrenatus","Siluriformes","Loricariidae","Hisonotus leucofrenatus"
"109","Kronichthys subteres","Siluriformes","Loricariidae","Kronichthys subteres"
"110","Mimagoniates microleps","Characiformes","Characidae","Mimagoniates microlepis"
"111","Phalloceros caudimoaculatus","Cyprinodontiformes","Poeciliidae","Phalloceros caudimaculatus"
"112","Pimelodella pappenheimi","Siluriformes","Heptapteridae","Pimelodella pappenheimi"
"113","Pseudotothyris obtusa","Siluriformes","Loricariidae","Pseudotothyris obtusa"
"114","Rineloricaria kronei","Siluriformes","Loricariidae","Rineloricaria kronei"
"115","Schizolecis guntheri","Siluriformes","Loricariidae","Schizolecis guntheri"
"116","Astyanax paranae","Characiformes","Characidae","Astyanax paranae"
"117","Lepomis gibbosus","Perciformes","Centrarchidae","Lepomis gibbosus"
"118","Callinectes sapidus","Decapoda","Portunidae","Callinectes sapidus"
"119","Galeichthys f  elis","Siluriformes","Ariidae","Galeichthys f  elis"
"120","Morone interrupta","Perciformes","Moronidae","Morone mississippiensis"
"121","Liniparhomaloptera dispar","Cypriniformes","Balitoridae","Liniparhomaloptera disparis"
"122","Pseudogastromzyon myersi","Cypriniformes","Balitoridae","Pseudogastromyzon myersi"
"123","blue catfish","Siluriformes","Ictaluridae","Ictalurus furcatus"
"124","Lepomis m. macrochirus",NA,NA,"Lepomis m. macrochirus"
"125","Squalius alburnoides","Cypriniformes","Cyprinidae","Squalius alburnoides"
"126","Rutilus rutilus","Cypriniformes","Cyprinidae","Rutilus rutilus"
"127","Abramis brama","Cypriniformes","Cyprinidae","Abramis brama"
"128","Abramis brama L.","Cypriniformes","Cyprinidae","Abramis brama"
"129","Economidichthys pygmaeus","Perciformes","Gobiidae","Economidichthys pygmaeus"
"130","Leptobotia elongata","Cypriniformes","Cobitidae","Leptobotia elongata"
"131","Esox niger","Esociformes","Esocidae","Esox niger"
"132","Alburnus alburnus","Cypriniformes","Cyprinidae","Alburnus alburnus"
"133","GALAXIAS MACULATUS","Osmeriformes","Galaxiidae","Galaxias maculatus"
"134","Barbus acutirostris","Cypriniformes","Cyprinidae","Labeobarbus acutirostris"
"135","Barbus brevicephalus","Cypriniformes","Cyprinidae","Labeobarbus brevicephalus"
"136","Barbus crassibarbis","Cypriniformes","Cyprinidae","Labeobarbus crassibarbis"
"137","Barbus dainelli","Cypriniformes","Cyprinidae","Labeobarbus dainellii"
"138","Barbus gorgorensis","Cypriniformes","Cyprinidae","Labeobarbus gorgorensis"
"139","Barbus gorguari","Cypriniformes","Cyprinidae","Labeobarbus gorguari"
"140","Barbus longissimua","Cypriniformes","Cyprinidae","Labeobarbus longissimus"
