citation,author,year,table_figure,total,fix_needed,fix_completed,remove
"Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos",Ayinla,1988,tbl3,153.53,delete all entries (original data do not add to 100),,yes
"Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos",Ayinla,1988,tbl3,207.94,delete all entries (original data do not add to 100),,yes
"Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos",Ayinla,1988,tbl3,150.56,delete all entries (original data do not add to 100),,yes
"Li, L., Wei, Q. W., Wu, J. M., Zhang, H., Liu, Y., & Xie, X. (2015). Diet of Leptobotia elongata revealed by stomach content analysis and inferred from stable isotope signatures. Environmental biology of fishes, 98(8), 1965-1978.",Li et al.,2015,tbl 1,200.1,delete all entries (original data do not add to 100),,yes
"Li, L., Wei, Q. W., Wu, J. M., Zhang, H., Liu, Y., & Xie, X. (2015). Diet of Leptobotia elongata revealed by stomach content analysis and inferred from stable isotope signatures. Environmental biology of fishes, 98(8), 1965-1978.",Li et al.,2015,tbl 1,161.7663,delete all entries (original data do not add to 100),,yes
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.",Sammons,2006,NA,200.15,delete all sammons and reenter,,yes
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.",Sammons,2006,NA,199.5,delete all sammons and reenter,,yes
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.",Sammons,2006,NA,199.9,delete all sammons and reenter,,yes
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.",Sammons,2006,NA,200.05,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,123.1,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,161.1,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,146.7,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,130.8,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,135.3,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,147,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,122.9,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,146.3,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,128.4,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,139.2,delete all sammons and reenter,,yes
"Sibbing, F. A., & Nagelkerke, L. A. (2000). Resource partitioning by Lake Tana barbs predicted from fish morphometrics and prey characteristics. Reviews in Fish Biology and Fisheries, 10(4), 393-437.",Sibbing & Nabelkirk,2000,tbl 5,129.9,delete all sammons and reenter,,yes
