,site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,prey_taxon,measurement,sampling_interval,predator_average_length,frequency
1,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,crustacea,7062,NA,NA,NA
2,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,crustacea,87.71,NA,NA,NA
3,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,amphipoda,2475,NA,NA,NA
4,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,amphipoda,30.74,NA,NA,NA
5,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,decapoda,6,NA,NA,NA
6,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,decapoda,0.08,NA,NA,NA
7,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,mysidacea,4285,NA,NA,NA
8,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,mysidacea,53.22,NA,NA,NA
9,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,isopoda,293,NA,NA,NA
10,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,isopoda,3.64,NA,NA,NA
11,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,cladocera,2,NA,NA,NA
