citation,site_name,start_date_add,end_date_add
"Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","Lake Pontchartrain, Louisiana",7/1/1953,8/1/1954
"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.",Windermere,5/1/1943,12/1/1943
"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","River Leven, England",8/1/1943,10/1/1943
"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","Cunsey Bekc, England",6/1/1943,10/1/1943
"Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","Cunsey Beck, England",6/1/1943,10/1/1943
"Sreeraj, N., Raghavan, R., & Prasad, G. (2006). The diet of Horabagrus brachysoma (Gunther), an endangered bagrid catfish from Lake Vembanad (South India). Journal of fish biology, 69(2), 637-642.","Lake Vembanad, Kerala",6/1/2003,5/1/2004
"Idodo-Umeh, G. (2002). The feeding ecology of bagrid species in river Ase, Niger Delta, Southern Nigeria. Tropical Freshwater Biology, 11(1), 47-68.","River Ase, Niger Delta, Nigeria",3/1/1982,2/1/1984
"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana.<U+00A0>Transactions of the American Fisheries Society,<U+00A0>144(4), 780-791.","Atchafalaya River, Louisiana",8/1/2011,7/11/2012
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","Lake Seminole, Chatahoochee Arm, Georgia",8/1/2000,3/1/2003
"Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","Lake Seminole, Spring Creek Arm, Georgia",8/1/2000,3/1/2003
"Mendes, L. B., Borges, J. A. T., da Silva, M. J., da Costa Ramos, R. T., & Medeiros, E. S. F. (2011). Food habits of Triportheus signatus (Teleostei, Characidae) in a Brazilian semi-arid intermittent river. Revista Brasileira de Zooci<ea>ncias, 13(1, 2, 3).","Serid<f3> River, Brazil",4/1/2007,1/1/2008
"Rom<e1>n-Valencia, C., & Taphorn, D. C. (2014). Trophic and reproductive ecology of a Neotropical characid fish Hemibrycon brevispini (Teleostei: Characiformes). Caldasia, 36(2), 289-304.","La Venada Creek, Colombia",7/1/2011,11/1/2012
"Dorgeloh, W. G. (1994). Diet and food selection of Barbus aeneus, Clarias gariepinus and Oncorhynchus mykiss in a clear man-made lake, South Africa. Water SA, 20(1), 91-98.","Sterkfontein Dam, South Africa",3/1/1984,4/1/1985
"Getachew, T., & Fernando, C. H. (1989). The food habits of an herbivorous fish (Oreochromis niloticus Linn.) in Lake Awasa, Ethiopia. Hydrobiologia, 174(3), 195-200.","Lake Awasa, Ethiopia",8/1/1984,4/1/1986
NA,NA,,
"Elakhame, L. A. (2006). The distribution, feeding and reproduction of Clarioid species in Epie creek floodplain of the Niger delta, Nigeria. Tropical Freshwater Biology, 15(1), 83-94.","Niger Delta, Nigeria",,
