data_source,site_name,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,prey_taxon,measurement,prey_stage,sampling_interval,predator_average_length,frequency,fish_genus_species,length_type,start_year,start_month,start_day,end_year,end_month,end_day,figure,fish_id,data_sorted_by,lon,lat,prey_kingdom,prey_class,prey_order,prey_family,prey_species,fish_order,fish_family,fish_species,dateadded,column,unique_character,fish_genus,correction_mult,new_min,new_max,new_average,measurement_type_number_weight_other,measurement_units_total_percent_other,sample_id,citation_to_remove,new_lat,new_lon,site_name_new,delete_row,prey_taxon_cleaned,search_term,prey_phylum,prey_genus,prey_type,measure_numeric,start_date_add,end_date_add,start_date_new,end_date_new
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Trichoptera,NA,pupae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Trichoptera,NA,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trichoptera,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Trichoptera,NA,adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Trichoptera,NA,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trichoptera,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Pectinatella,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Phylactolaemata,NA,Pectinatellidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Corixidae,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Corixidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Gerridae,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Gerridae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Rheumatobates  rileyi,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Gerridae,Rheumatobates rileyi,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Chrysomelidae,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Chrysomelidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Cicadellidae,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Cicadellidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Delphacidae,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,Delphacidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Coleoptera,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,NA,NA,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,0,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Chironomidae,11,pupae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Diptera,Chironomidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,Animalia,11,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Chironomidae,0.2,adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Diptera,Chironomidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,Animalia,0.2,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Chironomidae,26,larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Diptera,Chironomidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,Animalia,26,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,Trichoptera,8.5,larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Insecta,Trichoptera,NA,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trichoptera,NA,NA,NA,Animalia,8.5,NA,NA,NA,NA
jan_2020_method,"White River, Petersburg, Indiana",,,,,,Pimephales vigilax,201,6/1/1971,10/1/1972,river,lotic,percVolume,percent,Whitaker,1997,TheAmericanMidlandNaturalist,"Whitaker Jr, J. O. (1977). Seasonal changes in food habits of some cyprinid fishes from the White River at Petersburg, Indiana. American Midland Naturalist, 411-418.",tbl2,autumn samples only ,PlumateIla,1.5,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,averaged over size for Autumn samples,-87.2786244,38.4919935,Animalia,Phylactolaemata,NA,Plumatellidae,NA,Cypriniformes,Cyprinidae,Pimephales vigilax,8/1/2019,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plumatella,NA,NA,Animalia,1.5,NA,NA,NA,NA
