"","site_name","lat.x","long","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat.y"
"1","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks",NA,"unknown","-16.9961055","65.60386"
"2","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","63","unknown","-16.9961055","65.60386"
"3","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","14","unknown","-16.9961055","65.60386"
"4","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","15","7/21/1972","7/21/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks",NA,"unknown","-16.9961055","65.60386"
"5","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","8/16/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","10","unknown","-16.9961055","65.60386"
"6","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks",NA,"unknown","-16.9961055","65.60386"
"7","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","14","unknown","-16.9961055","65.60386"
"8","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","56","unknown","-16.9961055","65.60386"
"9","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"sticklebacks","80","unknown","-16.9961055","65.60386"
"10","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","+","unknown","-16.9961055","65.60386"
"11","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","24","unknown","-16.9961055","65.60386"
"12","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","+","unknown","-16.9961055","65.60386"
