"","fish_genus_species","predator_min_length","predator_max_length","predator_average_length","length_type","length_units","sample_size","start_year","start_month","start_day","end_year","end_month","end_day","habitat","measurement_type","measurement_units","author","year","journal","site_name","sampling_interval","citation","figure","fish_id","data_sorted_by","notes","prey_taxon","measurement","prey_stage","lon","lat"
"1","Anguilla anguilla",NA,"35",NA,NA,"cm","6","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_1","size averaged over time",NA,"mollusca","84","unknown","-122.7434764","45.487589"
"2","Anguilla anguilla","36","50",NA,NA,"cm","79","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_2","size averaged over time",NA,"mollusca","74","unknown","-122.7434764","45.487589"
"3","Anguilla anguilla","50",NA,NA,NA,"cm","21","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_3","size averaged over time",NA,"mollusca","76","unknown","-122.7434764","45.487589"
"4","Anguilla anguilla",NA,"35",NA,NA,"cm","6","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_1","size averaged over time",NA,"aquatic_insect_larvae","9.1","larvae","-122.7434764","45.487589"
"5","Anguilla anguilla","36","50",NA,NA,"cm","79","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_2","size averaged over time",NA,"aquatic_insect_larvae","17.5","larvae","-122.7434764","45.487589"
"6","Anguilla anguilla","50",NA,NA,NA,"cm","21","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_3","size averaged over time",NA,"aquatic_insect_larvae","7.6","larvae","-122.7434764","45.487589"
"7","Anguilla anguilla",NA,"35",NA,NA,"cm","6","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_1","size averaged over time",NA,"chironomid_larvae","1.1","larvae","-122.7434764","45.487589"
"8","Anguilla anguilla","36","50",NA,NA,"cm","79","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_2","size averaged over time",NA,"chironomid_larvae","2.6","larvae","-122.7434764","45.487589"
"9","Anguilla anguilla","50",NA,NA,NA,"cm","21","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_3","size averaged over time",NA,"chironomid_larvae","0","larvae","-122.7434764","45.487589"
"10","Anguilla anguilla",NA,"35",NA,NA,"cm","6","1945","5","1","1945","12","1","lentic","number","percent","Frost","1946","JAE","Windermere","monthly","Frost, W. E. (1946). Observations on the food of eels (Anguilla anguilla) from the Windermere catchment area. The Journal of Animal Ecology, 43-53.","tbl2","20200113_frost_1","size averaged over time",NA,"crustacea","6","unknown","-122.7434764","45.487589"
