"","fish_genus_species","predator_min_length","predator_max_length","predator_average_length","length_type","length_units","sample_size","start_year","start_month","start_day","end_year","end_month","end_day","habitat","measurement_type","measurement_units","author","year","journal","site_name","sampling_interval","citation","figure","fish_id","data_sorted_by","notes","prey_taxon","measurement","prey_stage","lon","lat"
"1","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"fish","0.58","unknown","-91.5589892","30.2380944"
"2","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"fish","0.13","unknown","-91.5589892","30.2380944"
"3","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"fish","0.25","unknown","-91.5589892","30.2380944"
"4","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"fish","0.08","unknown","-91.5589892","30.2380944"
"5","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"fish","0.15","unknown","-91.5589892","30.2380944"
"6","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"fish","0.15","unknown","-91.5589892","30.2380944"
"7","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"fish","0","unknown","-91.5589892","30.2380944"
"8","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"cambaridae","0.41","unknown","-91.5589892","30.2380944"
"9","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"cambaridae","0.78","unknown","-91.5589892","30.2380944"
"10","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"cambaridae","0.05","unknown","-91.5589892","30.2380944"
