author,citation,table_figure,prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin,lat,lon
Abelha et al.,"Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paran<e1>, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.",tbl 1,pteridophyta,unknown,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial,,
Abelha et al.,"Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paran<e1>, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.",tbl 1,penales,unknown,Chromista,Bacillariophyceae,Pennales,NA,NA,NA,NA,NA,NA,NA,NA,aquatic,,
Abelha et al.,"Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paran<e1>, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.",tbl 1,centrales,unknown,Chromista,Bacillariophyceae,Centrales,NA,NA,NA,NA,NA,NA,NA,NA,aquatic,,
Bob-Manuel,"Bob-Manuel, F. G. (2013). Food and feeding habits of Tilapia guineensis (1862) in Rumuolumeni creek, Niger delta: implications for pisciculture. Journal of Life Sciences, 5(1), 41-45.",tbl 1,pholidina spp,unknown,Animalia,NA,Rotifera,NA,Pholidina sp.,NA,NA,NA,NA,NA,NA,terrestrial,,
Bob-Manuel,"Bob-Manuel, F. G. (2013). Food and feeding habits of Tilapia guineensis (1862) in Rumuolumeni creek, Niger delta: implications for pisciculture. Journal of Life Sciences, 5(1), 41-45.",tbl 1,nymphea spp,unknown,Plantae,,Nymphaeales,Nymphaeaceae,Nymphaea,,,,,,,aquatic,,
bruton,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,s mossambicus,,,,,,Sarotherodon mossambicus,,,,,,,,,
bruton,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,p philander,,,,,,Pseudocrenilabrus philander,,,,,,,,,
bruton,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,g giurus,,,,,,Glossogobius giurus,,,,,,,,,
bruton,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,h orbiculare,,,,,,"Hymenosoma 
orbiculare",,,,,,,,,
bruton,"Bruton, M. (1979). The food and feeding behaviour of Clarias gariepinus (Pisces: Clariidae) in Lake Sibaya, South Africa, with emphasis on its role as a predator of cichlids. The Transactions of the Zoological Society of London, 35(1), 47-114.",tbl3,c nilotica,,,,,,Caridina nilotica,,,,,,,,,
