"","prey_taxon","prey_kingdomadd","prey_classadd","prey_orderadd","prey_familyadd","prey_speciesadd"
"1","Ostracoda","Metazoa","Ostracoda",NA,NA,NA
"2","nodularia_sp","Metazoa","Bivalvia","Unionida","Unionidae",NA
"3","Daphnia sp.","Metazoa","Branchiopoda","Diplostraca","Daphniidae","Daphnia sp."
"4","Gyrinidae","Metazoa","Insecta","Coleoptera","Gyrinidae",NA
"5","Ceratopogonidae","Metazoa","Insecta","Diptera","Ceratopogonidae",NA
"6","Chaoborus","Metazoa","Insecta","Diptera","Chaoboridae",NA
"7","Malacostraca","Metazoa","Malacostraca",NA,NA,NA
"8","Cladocera eggs","Metazoa","Branchiopoda","Diplostraca",NA,NA
"9","Polygonum seeds","Viridiplantae","Magnoliopsida","Caryophyllales","Polygonaceae",NA
"10","Potamogeton","Viridiplantae","Magnoliopsida","Alismatales","Potamogetonaceae",NA
"11","Elodea leaves","Viridiplantae","Magnoliopsida","Alismatales","Hydrocharitaceae",NA
"12","Hydrophilidae","Metazoa","Insecta","Coleoptera","Hydrophilidae",NA
"13","Ichneumon fly","Metazoa","Insecta","Hymenoptera","Ichneumonidae",NA
"14","Mycetobia","Metazoa","Insecta","Diptera","Anisopodidae",NA
"15","Chara","Viridiplantae","Charophyceae","Charales","Characeae",NA
"16","Cladocera sp","Metazoa","Branchiopoda","Diplostraca",NA,NA
"17","Daphnia longispina","Metazoa","Branchiopoda","Diplostraca","Daphniidae","Daphnia longispina"
"18","Ephemeridae","Metazoa","Insecta","Ephemeroptera","Ephemeridae",NA
"19","Sisyra","Metazoa","Insecta","Neuroptera","Sisyridae",NA
"20","Formica","Metazoa","Insecta","Hymenoptera","Formicidae",NA
"21","Haliplus  longulus","Metazoa","Insecta","Coleoptera","Haliplidae","Haliplus longulus"
"22","Hordeum jubatum seed","Viridiplantae","Magnoliopsida","Poales","Poaceae","Hordeum jubatum"
"23","Hydroporus sp","Metazoa","Insecta","Coleoptera","Dytiscidae",NA
"24","Potamogeton stems, leaves","Viridiplantae","Magnoliopsida","Alismatales","Potamogetonaceae",NA
"25","Arctiidae halisidota","Metazoa","Insecta","Lepidoptera","Erebidae",NA
"26","Hydroporus","Metazoa","Insecta","Coleoptera","Dytiscidae",NA
"27","Oxyethira","Metazoa","Insecta","Trichoptera","Hydroptilidae",NA
"28","




















Coenagriidae","Metazoa","Insecta","Coleoptera","Dytiscidae",NA
"29","Animal  remains","Metazoa","Insecta","Trichoptera","Hydroptilidae",NA
"30","Notonectidate (Notonecta)","Metazoa","Insecta","Odonata","Gomphidae",NA
"31","Belostomatidae","Metazoa","Insecta","Odonata","Aeshnidae",NA
"32","Haliplidae","Metazoa","Insecta","Odonata","Libellulidae",NA
"33","Limnephilidae","Metazoa","Insecta","Hemiptera",NA,NA
"34","Notemigonus","Metazoa","Insecta","Hemiptera","Corixidae",NA
"35","Benthicinsectlarvae","Metazoa","Insecta","Hemiptera","Belostomatidae",NA
"36","OtherDiptem","Metazoa","Insecta","Coleoptera","Haliplidae",NA
"37","Non-tanypodinae","Metazoa","Insecta","Trichoptera","Limnephilidae",NA
"38","Glossosoma","Metazoa","Insecta","Ephemeroptera","Ephemerellidae",NA
