prey_kingdom_add,prey_phylum,prey_subphylum,prey_superclass,prey_class_add,prey_subclass,prey_order_add,prey_family_add,prey_species,
Animalia,,,Osteichthyes,,,,,,fish eggs
Animalia,,,Osteichthyes,,,,,,other fish
Animalia,,,Osteichthyes,,,,,,unidentified fish
Animalia,,,Osteichthyes,,,,,,fish egg
Animalia,,,Osteichthyes,,,,,,fish young
Animalia,,,Osteichthyes,,,,,,fish fesh
Animalia,,,Osteichthyes,,,,,,sm whole_fish
Animalia,,,Osteichthyes,,,,,,fish flesh
Animalia,,,Osteichthyes,,,,,,fish remains
Animalia,,,Osteichthyes,,,,,,fish fins
Animalia,,,Osteichthyes,,,,,,fish fns
Animalia,,,Osteichthyes,,,,,,fish roe
Animalia,,,Osteichthyes,,,,,,fish remain
Animalia,,,Osteichthyes,,,,,,fish fry
Animalia,,,Osteichthyes,,,,,Galaxius maculatus,fish galaxias_maculatus_juvenile
Animalia,,,Osteichthyes,,,,,,small fish
Animalia,,,Osteichthyes,,,,,,fish scale
Animalia,,,Osteichthyes,,,,,,fish and_frogs
Animalia,,,Osteichthyes,,,,,,fish pieces
Animalia,,,Osteichthyes,,,,,,fish parts
Animalia,,,Osteichthyes,,,,,,fish u
Animalia,,,Osteichthyes,,,,,,fish scales
Animalia,,,Osteichthyes,,,,,,parts of_fishes
Animalia,,,,,,,,,molluscs fish_oligochaeta
Animalia,,,Osteichthyes,Actinopterygii,,Siluriformes,,,catfish fry
Animalia,,,,Malacostraca,,Decapoda,,,crayfish prawn
Animalia,,,Osteichthyes,,,,,,fish larvae
Animalia,,,Osteichthyes,,,,,,fish remains_sc_ales_bones_eggs_etc
Animalia,,,Osteichthyes,Actinopterygii,,Cyprinodontiformes,,,killifish
Animalia,,,Osteichthyes,,,,,,miscellaneous fish_larvae
Animalia,,,Osteichthyes,,,,,,unidentifed fish
Animalia,,,Osteichthyes,,,,,,fish bait
Animalia,,,Osteichthyes,,,,,,fish bone
Animalia,,,Osteichthyes,,,,,,fish flesh_fragments
Animalia,,,Osteichthyes,,,,,,fish unidentified
Animalia,,,Osteichthyes,,,,,,other fishb
Animalia,,,Osteichthyes,Actinopterygii,,Perciformes,Scianidae,Plagioscion squamosissimus,plagioscion squamosissimus_fish_fry
Animalia,,,Osteichthyes,Actinopterygii,,Perciformes,Centrarchidae,Lepomis auritus,redbreast sunfish
Animalia,,,,Malacostraca,,Decapoda,,,crayfishes
Animalia,,,Osteichthyes,Characiformes,,,,,fish characiformes
,,,,,,,,,fish eggs_and_plant_material
Animalia,,,Osteichthyes,,,,,,fish muscle
Animalia,,,Osteichthyes,,,,,,fish vertebrae
,,,,,,,,,miscellaneous fish_eggs_and_plant_remains
Animalia,,,Osteichthyes,,,,,,whole fish
Animalia,,,Osteichthyes,,,,,,fish and_fish_remains
Animalia,,,Osteichthyes,,,,,,fish larva
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomids
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus eggs
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid pupae_and_larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chirononus larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Stictochironomus sp.,stictochironomus
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus egg
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironormus pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid adult
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid pupal_skins
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid tube_remains
Animalia,,,,Insecta,,Diptera,Chironomidae,Endochironomus sp.,endochironomous
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironormis pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,adult chironomid
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomidac larvae_and_pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomidade larvae_and_pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomus sp
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomini n_det
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomous larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironomous pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,Cryptochironomus sp.,cryptochironomus
Animalia,,,,Insecta,,Diptera,Chironomidae,Cryptochironomus sp.,cryptochironomus sp_larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Endochironomus sp.,endochironomus
Animalia,,,,Insecta,,Diptera,Chironomidae,Goeldochironomus sp.,goeldichironomus sp_larvae
Animalia,,,,Insecta,,Diptera,Chironomidae,Psectrochironomus sp.,psectrochironomus
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus sp.,chironamus modestus_pupae
Animalia,,,,Insecta,,Diptera,Chironomidae,,chironomid larva
Animalia,,,,Insecta,,Diptera,Chironomidae,Chironomus modestus,chironomus modestus_larvae
Animalia,,,,Insecta,,,,,aquatic insects
