prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
surface_food,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
zygopteran_larvae,larvae,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygoptera_larvae,larvae,Metazoa,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygoptera nymphs,larvae,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
zygoptera nymph,larvae,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygoptera larvae,larvae,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygoptera damselfly,unknown,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygoptera adult,adults,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
Zygoptera,larvae/adults,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
zygoptera,unknown,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zygnematophyceae,unknown,Plantae,Zygnematophyceae,NA,NA,NA,NA,Charophyta,NA,NA,NA,NA,aquatic
zooplanktona,unknown,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
Zooplankton,unknown,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
zooplankton,unknown,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
zigoptera,unknown,Animalia,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
zephlebta scita,unknown,Animalia,Insecta,Ephemeroptera,Leptophlebiidae,Zephlebta sp.,NA,Arthropoda,NA,NA,NA,NA,aquatic
zelandoperla decorate,unknown,Animalia,Insecta,Plecoptera,Gripopterygidae,Zelandoperla decorata,NA,Arthropoda,NA,NA,NA,NA,aquatic
zebra mussels,unknown,Animalia,Bivalvia,Myida,Dreissenidae,Dreissena polymorpha,NA,Mollusca,NA,NA,NA,NA,aquatic
yellow perch,unknown,Animalia,Actinopterygii,Perciformes,Percidae,Perca flavescens,NA,Chordata,Osteichthyes,NA,NA,NA,aquatic
xysticus triangulosus,unknown,Animalia,Arachnida,Araneae,Thomisidae,Xysticus triangulosus,NA,Arthropoda,NA,NA,NA,NA,terrestrial
xoridinae,unknown,Animalia,Insecta,Hymenoptera,Ichneumonidae,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
xenosphecinae,unknown,Animalia,Insecta,Hymenoptera,Sphecidae,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
xanthophyceae,unknown,Chromista,Xanthophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
x3opepoda,unknown,Animalia,Maxillopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
x1 mm_organic_debris_2,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detritus,aquatic or terrestrial
x1 mm_organic_debris,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detritus,aquatic or terrestrial
x_sponson_bugs_9,unknown,Animalia,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
worms remain,unknown,Animalia,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,aquatic or terrestrial
worms,unknown,Animalia,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
whole fish,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
white bass,unknown,Animalia,Actinopterygii,Perciformes,Moronidae,Morone chrysops,NA,Chordata,Osteichthyes,NA,NA,NA,aquatic
whirligig beetle,unknown,Animalia,Insecta,Coleoptera,Gyrinidae,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
