"prey_taxon","prey_taxon_refined"
"pteridophyta",NA
"simulidae_larvae",NA
"culicidae_larvae",NA
"trichoptera_larvae","Trichoptera"
"testacea",NA
"centrales",NA
"penales",NA
"chironomidae_larvae_and_pupae",NA
"oscillatoria",NA
"root_leaf_stem_angyospermae",NA
"fruits_seeds_angyospermae","Plantae"
"detritus_sediment",NA
"surface_food",NA
"benthic_crustacea","Crustacean"
"chironomid_larvae",NA
"own_eggs",NA
"plankton",NA
"undigestible_trash",NA
"sticklebacks",NA
"detritus",NA
"algae","Plantae"
"protist_rotifoer",NA
"vegetation",NA
"seeds","Plantae"
"microcrustaceans","Crustacean"
"worms",NA
"molluscs",NA
"macrocrustaceans","Crustacean"
"aquatic_insects","Insecta"
"terrestrial_arthropods",NA
"fish_other",NA
"mugiliforms",NA
"fish_eggs",NA
"chaoborids",NA
"fish_and_fish_remains",NA
"tendipeds",NA
"megaloptra",NA
"elimdae",NA
"non_filamentous_algae","Plantae"
"fish_scales",NA
"filamentous_algae","Plantae"
"vascular_plant",NA
"insect_parts","Insecta"
"algae_and_plant_material_unknown","Plantae"
"terrestrial_insect_parts","Insecta"
"aquatic_insect_parts","Insecta"
"terrestrial_insects_unkwon","Insecta"
"detritus_and_other",NA
"atyaephyra_desmaresti",NA
"algae_and_plant_debris","Plantae"
"nymphs_undet",NA
"cyanophyceae",NA
"euglenophyceae",NA
"zignemaphyceae",NA
"algae_unknwon","Plantae"
"vegetable_materials_n_id",NA
"sporangium_pteridophyta",NA
"higher_plants",NA
"seed","Plantae"
"protista",NA
"adult_insect_terrestrial","Insecta"
"adult_insect_aquatic","Insecta"
"adult_insect_unknown","Insecta"
"immature_insect_aquatic","Insecta"
"immature_insect_aquatic_1","Insecta"
"immature_insect_unknown","Insecta"
"fish",NA
"eggs_unknown",NA
"animal_materials_unknwon",NA
"sand",NA
"baccilariophyceae",NA
"caddisfly_adult",NA
"cladocem",NA
"midge_adult",NA
"mayfly_adult",NA
"caddisfly_larvae",NA
"water_fleas",NA
"damselfly_nymph",NA
"damselfly_adult",NA
"aquatic_coleoptera_adult",NA
"stonefly_nymph",NA
"mayfly_nymph",NA
"midge_larvae_pupae",NA
"gastropods",NA
"hydrachnida",NA
"terrestria_coleoptera",NA
"flies",NA
"copepods",NA
"chironomid_pupae",NA
"gammarids",NA
"bernie_cladocerm",NA
"zooplanklon",NA
"diatoms",NA
"unidenfied_plant",NA
"chaetopoda",NA
"unidentified_insect","Insecta"
"unidentified_debris",NA
"thysanura_adult",NA
"unidentified_plant_remains",NA
"unsegmented_worms",NA
"acarida",NA
"arichnida",NA
"unidentified_insects","Insecta"
"fish_ova",NA
"chironomidae_larvae",NA
"unidentifed_parts",NA
"ova_eggs",NA
"calanoid",NA
"rangia_cuneata",NA
"foraminifera",NA
"dipter_larvae","Diptera"
"copepoda_undet",NA
"harpacticoid",NA
"bottom_diatoms",NA
"hydroids",NA
"sand_and_silt",NA
"algae_filamentous","Plantae"
"copepoda_arguloid",NA
"palaemonid_shrimp_undet",NA
"eggs_and_cysts",NA
"crabs_undet",NA
"sponges",NA
"vascular_plants",NA
"mysid_shrimp",NA
"mytilopsis_leucopheata",NA
"arguloid",NA
"rot_if_era",NA
"planktonic_diatoms",NA
"fish_remains",NA
"menidia_beryllina",NA
"crabs",NA
"cyclopoid",NA
"pupae_adults",NA
"crustacea_undet","Crustacean"
"gambusia_affinis",NA
"organic_mat_undet",NA
"undetermined_copepods",NA
"palaemonid_shrimp",NA
"pal_aemonetes_sp",NA
"penaeid_shrimp",NA
"fish_larvae",NA
"detritus_sand",NA
"copepoda_harpacticoid",NA
"sponge",NA
"ran_gia_cuneata",NA
"not_identified",NA
"aquatic_vegetation",NA
"hyphessobrycon_callistus",NA
"schizodon_altoparanae",NA
"aphyocharax_nasutus",NA
"calichthys_cafichthys",NA
"cyphocharax_modesta",NA
"m_sanctae_filomenae",NA
"roeboides_paranensis",NA
"a_schubarti",NA
"amphipods",NA
"vegetable_mat",NA
"shrimp",NA
"shrimps",NA
"parts_of_fishes",NA
"tilapians",NA
"fragilaria",NA
"spirulina",NA
"green_algal_unicells",NA
"others",NA
"filamentous_green_algae","Plantae"
"inorganic_material",NA
"fpom",NA
"homoeothrix",NA
"vegetation_detritus",NA
"zooplankton",NA
"terrestrial_insects","Insecta"
"miscellaneous",NA
"fishes",NA
"araneida",NA
"pulmonata",NA
"unidentified_insect_larvae","Insecta"
"plant_material",NA
"unidentified_insect_parts","Insecta"
"digested_animal_matter",NA
"ttichoptera_larvae",NA
"epemeroptera_newt",NA
"other_aquatic_insects","Insecta"
"diaplomus_skills",NA
"nauplii",NA
"cypricercus_sp",NA
"diaphanosoma_leuchtenbergianum",NA
"moina_hutchinsoni",NA
"liemiptera",NA
"molusca",NA
"trichopters","Trichoptera"
"moluscs",NA
"other_diptera","Diptera"
"tendipedidae",NA
"other_insects","Insecta"
"plant_materials",NA
"alona_rectangula",NA
"unidentified",NA
"unidentified_material",NA
"macroinvertebrates","Arthropods"
"coleoptra",NA
"unidentifiable_material",NA
"microscopic_plants",NA
"unidentifed_insects","Insecta"
"unknown_insects","Insecta"
"dipteran_pupae_adults","Diptera"
"unidentifed",NA
"dipteran_larvae","Diptera"
"aerial_insects","Insecta"
"maggots",NA
"other_dipera_larvae",NA
"indeterminate_molluscs",NA
"simidium_pupae",NA
"indeterminate_aquatic_insects","Insecta"
"simtdium_pupae",NA
"macrophytes_indeterminate",NA
"simidium_larvae",NA
"macrophytes",NA
"debris_detritus",NA
"mixed_algae","Plantae"
"simtdium_larvae",NA
"soil_debris_detritus",NA
"sphaeriwn",NA
"soil_mud_sand",NA
"algae_with_substrate","Plantae"
"diatoms_flamentous_algae_with_substrate","Plantae"
"other_diptera_larvae","Diptera"
"rice",NA
"thread",NA
"ephemeropteran_nymphs",NA
"calothrix_sp",NA
"oxyethira_maya",NA
"dugesia_sp",NA
"hemerodromia_stellaris",NA
"oscillatoriaceae",NA
"nostoc_sp",NA
"hydrosera_sp",NA
"others_aquatic_insect","Insecta"
"aquatic_plants",NA
"terrestrial_plants",NA
"aquatic_invertebrates","Arthropods"
"others_terrestrial_insect","Insecta"
"simulbdae",NA
"chiro_adults",NA
"psychoinyiidae",NA
"chiro_pupae",NA
"chiro_larvae",NA
"crustacea_remains","Crustacean"
"vascular_remains",NA
"other_trichoptera","Trichoptera"
"chironomus_larvae",NA
"arachnids",NA
"bosmina_coregoni",NA
"ciadotanytarsus_sp",NA
"einfeldiu_sp",NA
"identifed_animal_materials",NA
"unidentifed_organic_material",NA
"gobioninae",NA
"homalopterinae",NA
"unidentified_fish",NA
"gammarid",NA
"mollusk",NA
"limnoperna_lacustris",NA
"benthic_invertebrates","Arthropods"
"unidentified_aquatic_insects","Insecta"
"phytodetritus",NA
"aquatic_insect_larvae","Insecta"
"phytoplankton",NA
"plant_seeds","Plantae"
"eggs",NA
"terrestrial",NA
"alosa_pseudoharengus",NA
"lepomis_gibbosus",NA
"roccus_americanus",NA
"fish_egg",NA
"fish_debris",NA
"unidentifed_fsh",NA
"aquatic_arthropoda",NA
"other_diptera_nonadult","Diptera"
"terrestrial_arthropoda",NA
"conchostraca_ostracoda",NA
"invertebrate_eggs","Arthropods"
"rests_of_fish",NA
"rests_of_insects","Insecta"
"scales",NA
"inorganic_matter",NA
"seeds_and_fruits","Plantae"
"plant_debris",NA
"organic_matter",NA
"chironomid_adults",NA
"animals",NA
"empty_space",NA
"algae_detritus","Plantae"
"annelids",NA
"plant_remains",NA
"heminoptera",NA
