prey_taxon,refine taxa
aquatic_insects,insecta
terrestrial_insect_parts,insecta
aquatic_insect_parts,insecta
adult_insect_terrestrial,insecta
adult_insect_aquatic,insecta
adult_insect_unknown,insecta
immature_insect_aquatic,insecta
immature_insect_aquatic_1,insecta
immature_insect_unknown,insecta
unidentified_insects,insecta
other_insects,insecta
unidentifed_insects,insecta
aerial_insects,insecta
indeterminate_aquatic_insects,insecta
aquatic_insect_larvae,insecta
cl_insecta,insecta
insect_eggs,insecta
winged_insects_terrest,insecta
insects,insecta
x1nsect_parts,insecta
insect_fragment,insecta
terrestrial_insects_parts,insecta
aquatic_insect_eggs,insecta
immature_insects,insecta
adults_insects,insecta
other_insecta,insecta
insect,insecta
nsecta,insecta
