"prey_taxon","citation","n"
"alewife","Pothoven, S  ., Madenjian, C. P., & Höök, T. O. (2017). Feeding ecology of the walleye (Percidae, Sander vitreus), a resurgent piscivore in lekake Huron (Laurentian Great Lakes) after shifts in the prey community. Ecology of Freshwater Fish, 26(4), 676-685.",8
"alona","tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",4
"alonella sp","García- lzate, C A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: lekoricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.",3
"aquatic vegetation","De  lmeida, V lek. L., Hahn, N. S., & Agostinho, C. S. (1998). Stomach content of juvenile and adult piranhas (Serrasalmus marginatus) in the Paraná Floodplains, Brazil. Studies on Neotropical Fauna and Environment, 33(2), 100-105.",2
"aquatic vegetation","kin, S, Sahin, C., Verep, B., Turan, D., Gözler, A. M., Bozkurt, A., ... & Sargin, I. (2011). Feeding habits of introduced lekuropean perch (Perca fluviatilis) in an impounded large river system in Turkey. African Journal of Agricultural Research, 6(18), 4293-4307.",2
"atlantic tomcod","Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",19
"baetiscids","Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",25
"benthos","lekseyev, S S., Gordeeva, N. V., Matveev, A. N., Samusenok, V. P., Vokin, A. I., & Yur’ev, A. lek. (2014). Three sympatric forms of Arctic charr Salvelinus alpinus complex (Salmoniformes, Salmonidae) from Lake Kamkanda, northern Transbaikalia. Journal of Ichthyology, 54(6), 384-408.",10
"blue algae","Villares-Junior, G  ., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.",3
"bosmina sp","Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.",4
"bosmina sp","Silva, Z, Nascimento, P. lek. C. D., Vitule, J. R. S., Frehse, F. D.  ., Ferraz, M. S. O., & Mourgués-Schurter, L. R. (2019). Diet and resource sharing by two Pimelodidae species in a Southeastern Brazilian reservoir. Biota Neotropica, 19(3).",2
"brachionus","tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",4
"brachionus plicatilis","lcaraz, C, & García-Berthou, lek. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193-207.",2
