citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Welton, J S., JS, W., & C , M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (lek.) and Cottus gobio L.",a aquaticus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Isopoda,Asellidae,Asellus aquaticus
"Pothoven, S  ., Madenjian, C. P., & Höök, T. O. (2017). Feeding ecology of the walleye (Percidae, Sander vitreus), a resurgent piscivore in lekake Huron (Laurentian Great Lakes) after shifts in the prey community. Ecology of Freshwater Fish, 26(4), 676-685.",alewife,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,Alosa pseudoharengus
"Speirs, G D. (1974). Food habits of landlocked salmon and brook trout in a Maine lake after introduction of landlocked alewives. Transactions of the  merican Fisheries Society, 103(2), 396-399.",alewife,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,Alosa pseudoharengus
"Madenjian, C P., Desorcie, T. J., & Stedman, R. M. (1998). Ontogenic and spatial patterns in diet and growth of lake trout in lekake Michigan. Transactions of the  merican Fisheries Society, 127(2), 236-252.",alewife 25,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,Alosa pseudoharengus
"Madenjian, C P., Desorcie, T. J., & Stedman, R. M. (1998). Ontogenic and spatial patterns in diet and growth of lake trout in lekake Michigan. Transactions of the  merican Fisheries Society, 127(2), 236-252.",alewife 26,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,Alosa pseudoharengus
"Joadder, M R. (2006). Food and feeding habits of Gagata youssoufi (Rahman) from the river Padma in Rajshahi. University Journal of Zoology, Rajshahi University, 25, 69-71.",algal filament,,Plantae,,,,,,,,
no results in search,alona,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Chydoridae,Alona sp.
"tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",alona,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Chydoridae,Alona sp.
"McHugh, J lek. (194 ). Food of the Rocky Mountain whitefish Prosopium williamsoni (Girard). Journal of the Fisheries Board of Canada, 5(2), 131-137.",alona sp,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Chydoridae,Alona sp.
"García- lzate, C A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: lekoricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.",alonella sp,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Chydoridae,Alonella sp.
