prey_taxon,search_term,prey_stage_add,prey_ecosystem_add,prey_family_add,prey_suborder_add,prey_order_add,prey_class_add,prey_species_add,prey_phylum-add,prey_kingdom_add
acananthes,Acananthes,,,NA,,,,,,
acan,Acari,,,NA,,,,,,
acarida,Acari,,,NA,,,,,,
mites,Acari,,,NA,,,,,,
bones_of_fsh,Actinopterygii,bones,,NA,,,Actinopterygii,,,
pisces,Actinopterygii,,,NA,,,,,,
"Unidentifable
fshremains",Actinopterygii,,,NA,,,,,,
alona_rectangula,Alona rectangula,,,NA,,,,,,
amphora,Amphora,,,NA,,,Bacillariophyceae,,,
amphora_sp_1,Amphora,,,NA,,,Bacillariophyceae,,,
amphora_sp_2,Amphora,,,NA,,,Bacillariophyceae,,,
amphora_sp_3,Amphora,,,NA,,,Bacillariophyceae,,,
amphibian_frog_bones,Amphibia,bones,,NA,,,Amphibia,,,
tadpoles,Amphibia,,,NA,,,,,,
anabaena,Anabaena,,,NA,,,Cyanophyceae,,,
anabaena_sp,Anabaena,,,NA,,,Cyanophyceae,,,
root_leaf_stem_angyospermae,Angiosperms,,,NA,,,,amphora,,
animal_materials_unknwon,Animalia,,,NA,,,,amphora_sp_1,,
digested_animal_matter,Animalia,,,NA,,,,amphora_sp_2,,
identifed_animal_materials,Animalia,,,NA,,,,amphora_sp_3,,
unidentified_animal_parts,Animalia,,,NA,,,,anabaena,,
zoobenthos,Animalia,,,NA,,,,anabaena_sp,,
zooplanklon,Animalia,,,NA,,,,,,
zooplankton,Animalia,,,NA,,,,,,
anisopteran_larvae,Anisoptera,larvae,,NA,Anisoptera,Odonata,Insecta,,,
Anispotera,Anisoptera,,,NA,Anisoptera,Odonata,Insecta,,,
a_convulatus,Ankisterodesmus convulatus,,,NA,,,,,Annelida,
a_falcatus,Ankisterodesmus falcatus,,,NA,,,,,,
annelids,Annelida,,,NA,,,,,,
unsegmented_worms,Annelida,,,NA,,,,,,
worms,Annelida,,,NA,,,,,Arthropoda,
aphasmida,Aphasmida,,,NA,,,Nematoda,,,
aphyocharax_nasutus,Aphyocharax nasutus,,,NA,,,,,,Plantae
aptocheilichthyes_sp,Aptocheilichthyes,,,NA,,,,,,Plantae
arachnides,Arachnid,,,NA,,,Arachnid,,,
